original_number,set_number,position_0.9_x2,frequency_0.9_x2,position_0.9_x1,frequency_0.9_x1,position_0.1_x2,frequency_0.1_x2,position_0.1_x1,frequency_0.1_x1,accurate_left,accurate_right,distance,,
15,8,0.33,0.91582,0.35,0.890561,0.71,0.1353,0.73,0.0936571,0.342526228,0.72695367,0.384427442,,
14,6,0.25,0.912752,0.27,0.88145,0.63,0.125432,0.65,0.0851833,0.258147722,0.642637427,0.384489705,,
1,9,0.39,0.902235,0.41,0.875616,0.77,0.10707,0.79,0.0846982,0.391679252,0.776320457,0.384641205,,
15,1,0.07,0.908316,0.09,0.890756,0.45,0.124212,0.47,0.090045,0.079471526,0.46417274,0.384701214,,
12,2,0.11,0.91354,0.13,0.898678,0.51,0.105475,0.53,0.0680203,0.128220966,0.512923532,0.384702565,,
11,7,0.29,0.90939,0.31,0.898911,0.69,0.105556,0.71,0.0676426,0.307921557,0.69293089,0.385009332,,
3,11,0.45,0.905325,0.47,0.877214,0.83,0.110945,0.85,0.08632,0.453788553,0.83888934,0.385100788,,
9,12,0.49,0.90544,0.51,0.885226,0.87,0.121362,0.89,0.081407,0.495382408,0.88069303,0.385310621,,
5,5,0.21,0.928344,0.23,0.875188,0.59,0.136837,0.61,0.0908189,0.220664459,0.606009787,0.385345328,,
7,1,0.09,0.945326,0.11,0.88854,0.49,0.102197,0.51,0.0692345,0.105963794,0.49133303,0.385369236,,
20,2,0.13,0.902439,0.15,0.882609,0.51,0.109343,0.53,0.0856181,0.132459909,0.517876113,0.385416204,,
18,5,0.23,0.903963,0.25,0.874359,0.61,0.116844,0.63,0.0775469,0.232677341,0.618572643,0.385895302,,
10,5,0.23,0.91528,0.25,0.883311,0.61,0.128722,0.63,0.0918468,0.239559261,0.625577949,0.386018689,,
1,7,0.31,0.90219,0.33,0.871537,0.69,0.11279,0.71,0.0789341,0.311428898,0.697555552,0.386126654,,
6,10,0.41,0.915575,0.43,0.890464,0.79,0.127234,0.81,0.0981094,0.422404922,0.808701716,0.386296794,,
15,14,0.55,0.910632,0.57,0.894605,0.93,0.13907,0.95,0.0993228,0.563267611,0.949659246,0.386391636,,
12,6,0.27,0.901186,0.29,0.856613,0.65,0.12059,0.67,0.064275,0.270532161,0.657312439,0.386780278,,
15,3,0.15,0.905687,0.17,0.894425,0.53,0.12259,0.55,0.0958354,0.160099449,0.546886816,0.386787366,,
11,1,0.09,0.902507,0.11,0.888608,0.47,0.110548,0.49,0.0915099,0.093607454,0.481080938,0.387473484,,
5,7,0.29,0.904486,0.31,0.880857,0.67,0.114983,0.69,0.08857,0.293797029,0.681345171,0.387548142,,
3,4,0.19,0.920956,0.21,0.882438,0.57,0.119528,0.59,0.0987103,0.200881146,0.588760958,0.387879812,,
7,6,0.27,0.914463,0.29,0.884831,0.65,0.126909,0.67,0.0967576,0.279761744,0.667849254,0.38808751,,
15,12,0.47,0.91875,0.49,0.892857,0.87,0.103009,0.89,0.0795948,0.484482679,0.872570235,0.388087556,,
19,5,0.23,0.905109,0.25,0.862616,0.61,0.112527,0.63,0.0890944,0.232404631,0.620691942,0.388287311,,
15,5,0.23,0.903226,0.25,0.890137,0.61,0.115664,0.63,0.0924109,0.23492933,0.623472612,0.388543282,,
10,7,0.29,0.920742,0.31,0.896747,0.69,0.107676,0.71,0.0824121,0.307288602,0.696076655,0.388788053,,
9,11,0.43,0.910569,0.45,0.891549,0.81,0.15439,0.83,0.0997974,0.441113565,0.829925777,0.388812213,,
17,13,0.51,0.911988,0.53,0.899868,0.91,0.116225,0.93,0.0796831,0.529782178,0.918880217,0.389098039,,
2,13,0.47,0.925926,0.49,0.897829,0.87,0.113095,0.89,0.0788705,0.488454639,0.877652413,0.389197773,,
11,2,0.11,0.921824,0.13,0.895613,0.51,0.106414,0.53,0.0864811,0.12665255,0.516435591,0.389783041,,
3,5,0.23,0.904448,0.25,0.875502,0.61,0.116857,0.63,0.0908184,0.233073309,0.622947701,0.389874392,,
16,14,0.55,0.91366,0.57,0.891727,0.95,0.102921,0.97,0.0792529,0.562456116,0.952468301,0.390012185,,
18,8,0.33,0.909091,0.35,0.888078,0.71,0.138256,0.73,0.0973223,0.338652739,0.728691689,0.39003895,,
2,9,0.33,0.909524,0.35,0.891892,0.73,0.101618,0.75,0.0701299,0.340803085,0.73102769,0.390224605,,
20,9,0.39,0.921713,0.41,0.889308,0.79,0.107495,0.81,0.0682594,0.403401018,0.79382051,0.390419492,,
3,13,0.53,0.90373,0.55,0.867946,0.91,0.116538,0.93,0.0905642,0.532084731,0.922734371,0.39064964,,
1,6,0.25,0.940778,0.27,0.895137,0.65,0.112983,0.67,0.0835405,0.267869021,0.658819224,0.390950203,,
3,7,0.29,0.906475,0.31,0.888591,0.67,0.129424,0.69,0.0971817,0.297241109,0.6882518,0.39101069,,
13,1,0.07,0.916974,0.09,0.890909,0.47,0.103963,0.49,0.0843621,0.083024362,0.474043692,0.39101933,,
18,11,0.43,0.900154,0.45,0.885154,0.81,0.125574,0.83,0.0812595,0.430205333,0.821542046,0.391336713,,
