original_number,set_number,position_0.9_x2,frequency_0.9_x2,position_0.9_x1,frequency_0.9_x1,position_0.1_x2,frequency_0.1_x2,position_0.1_x1,frequency_0.1_x1,accurate_left,accurate_right,distance,,
18,4,0.33,0.913706,0.35,0.895084,0.59,0.107823,0.61,0.0652066,0.344720223,0.593671357,0.248951133,,
18,5,0.39,0.902533,0.41,0.859674,0.63,0.12286,0.65,0.0844646,0.391182015,0.641907676,0.250725661,,
18,6,0.43,0.925801,0.45,0.899769,0.67,0.137215,0.69,0.0949749,0.449822526,0.687620697,0.237798171,,
18,7,0.49,0.902789,0.51,0.857847,0.73,0.109421,0.75,0.0620117,0.491241155,0.733974326,0.24273317,,
18,8,0.53,0.921792,0.55,0.86236,0.77,0.12338,0.79,0.0685404,0.537333423,0.778526685,0.241193262,,
18,9,0.57,0.91484,0.59,0.868482,0.81,0.141366,0.83,0.0865433,0.576402347,0.825090829,0.248688482,,
18,10,0.61,0.918685,0.63,0.887369,0.85,0.143348,0.87,0.0913174,0.621933197,0.866662502,0.244729305,,
18,11,0.65,0.918819,0.67,0.881693,0.89,0.144423,0.91,0.0957944,0.660137909,0.908270318,0.24813241,,
19,1,0.19,0.932515,0.21,0.887511,0.45,0.107809,0.47,0.0660661,0.204449827,0.453741475,0.249291648,,
19,2,0.25,0.920385,0.27,0.888975,0.49,0.119715,0.51,0.0841262,0.262979943,0.501079328,0.238099386,,
19,3,0.29,0.914582,0.31,0.884789,0.53,0.129175,0.55,0.0948148,0.299788877,0.546981857,0.24719298,,
19,4,0.33,0.917796,0.35,0.897354,0.59,0.114937,0.61,0.0674157,0.347411212,0.596286444,0.248875232,,
19,5,0.39,0.900247,0.41,0.857993,0.63,0.12411,0.65,0.0780537,0.390116912,0.640469795,0.250352883,,
19,6,0.43,0.925333,0.45,0.889377,0.69,0.100515,0.71,0.0692969,0.444091111,0.690329937,0.246238825,,
19,7,0.47,0.918315,0.49,0.892019,0.73,0.111818,0.75,0.0705882,0.483929875,0.735732747,0.251802871,,
19,8,0.51,0.91989,0.53,0.881481,0.77,0.117706,0.79,0.0919153,0.520356948,0.783730531,0.263373583,,
19,9,0.57,0.9251,0.59,0.864714,0.81,0.143564,0.83,0.0917949,0.578313185,0.826830117,0.248516932,,
19,10,0.61,0.904431,0.63,0.894415,0.87,0.113104,0.89,0.0788443,0.618847843,0.877649804,0.258801961,,
19,11,0.65,0.926549,0.67,0.89644,0.91,0.140019,0.93,0.0938794,0.667635259,0.927346921,0.259711663,,
20,1,0.21,0.918728,0.23,0.862094,0.45,0.104693,0.47,0.0641283,0.216613695,0.452313834,0.235700139,,
20,2,0.25,0.910194,0.27,0.872325,0.49,0.101754,0.51,0.0655577,0.255383823,0.49096916,0.235585337,,
20,3,0.29,0.917738,0.31,0.887251,0.53,0.132921,0.55,0.0725888,0.301636435,0.540913244,0.239276808,,
20,4,0.33,0.928328,0.35,0.892668,0.57,0.141194,0.59,0.095952,0.34588783,0.588210512,0.242322683,,
20,5,0.39,0.903685,0.41,0.848746,0.61,0.157355,0.63,0.0984508,0.391341488,0.629473993,0.238132506,,
20,6,0.43,0.901108,0.45,0.857246,0.67,0.120185,0.69,0.0677388,0.430505221,0.677697412,0.247192191,,
20,7,0.47,0.923841,0.49,0.865243,0.71,0.133527,0.73,0.0971064,0.478137138,0.728411009,0.250273871,,
20,8,0.51,0.923677,0.53,0.896094,0.77,0.111396,0.79,0.0744368,0.527167821,0.7761668,0.248998979,,
20,9,0.57,0.926128,0.59,0.883885,0.81,0.122045,0.83,0.0962199,0.582370334,0.827072538,0.244702204,,
20,10,0.61,0.937603,0.63,0.892643,0.85,0.146843,0.87,0.0937656,0.626727313,0.867650827,0.240923514,,
20,11,0.65,0.920748,0.67,0.873508,0.91,0.104049,0.93,0.0780075,0.658784081,0.913109652,0.254325571,,
