original_number,set_number,position_0.9_x2,frequency_0.9_x2,position_0.9_x1,frequency_0.9_x1,position_0.1_x2,frequency_0.1_x2,position_0.1_x1,frequency_0.1_x1,accurate_left,accurate_right,distance,
10,9,0.43,0.908012,0.45,0.886525,0.79,0.13093,0.81,0.0847458,0.437457532,0.803394191,0.365936659,
8,2,0.09,0.93311,0.11,0.877095,0.45,0.124486,0.47,0.0972222,0.101821833,0.46796228,0.366140446,
16,5,0.19,0.91866,0.21,0.881148,0.55,0.162264,0.57,0.0878906,0.199948816,0.566743621,0.366794804,
14,3,0.13,0.904762,0.15,0.887955,0.49,0.130518,0.51,0.083499,0.135666686,0.502981135,0.367314449,
14,5,0.23,0.920319,0.25,0.890208,0.61,0.101843,0.63,0.061244,0.243496065,0.610907904,0.36741184,
10,11,0.51,0.928082,0.53,0.894608,0.89,0.111219,0.91,0.0684803,0.526778395,0.895250043,0.368471648,
1,3,0.11,0.909524,0.13,0.889328,0.47,0.146974,0.49,0.0970971,0.119431571,0.488835974,0.369404404,
20,5,0.21,0.913725,0.23,0.895899,0.59,0.116004,0.61,0.0552861,0.225398856,0.595271592,0.369872736,
11,6,0.27,0.940171,0.29,0.897351,0.65,0.12058,0.67,0.0732714,0.288762728,0.658700321,0.369937593,
4,9,0.41,0.920578,0.43,0.861765,0.77,0.135447,0.79,0.0944882,0.416997773,0.787308613,0.37031084,
18,9,0.41,0.905229,0.43,0.888579,0.77,0.143822,0.79,0.0979631,0.416281081,0.789111666,0.372830585,
14,7,0.33,0.903904,0.35,0.886994,0.69,0.119431,0.71,0.0972763,0.334617386,0.707541199,0.372923813,
18,8,0.37,0.908257,0.39,0.87931,0.73,0.145472,0.75,0.0970297,0.375704909,0.748773675,0.373068766,
4,1,0.01,0.918182,0.03,0.890323,0.39,0.107767,0.41,0.0877743,0.023052873,0.397769836,0.374716963,
10,7,0.31,0.903537,0.33,0.888594,0.69,0.100488,0.71,0.0784913,0.314733989,0.690443703,0.375709714,
16,1,0.01,0.942446,0.03,0.891775,0.39,0.133531,0.41,0.0819048,0.026753567,0.402989916,0.376236349,
19,10,0.45,0.947761,0.47,0.899083,0.83,0.145472,0.85,0.0903042,0.469623238,0.846484979,0.37686174,
8,9,0.41,0.913793,0.43,0.889937,0.79,0.11437,0.81,0.0809249,0.421563548,0.798593187,0.377029639,
11,5,0.21,0.953271,0.23,0.89916,0.59,0.139557,0.61,0.0956175,0.229689527,0.608005212,0.378315685,
2,3,0.09,0.900552,0.11,0.9,0.47,0.148075,0.49,0.0958206,0.11,0.488400364,0.378400364,
16,6,0.23,0.939655,0.25,0.893548,0.61,0.135593,0.63,0.0911824,0.247201293,0.626029056,0.378827763,
19,8,0.35,0.914397,0.37,0.899705,0.73,0.148505,0.75,0.0960233,0.369598421,0.748484538,0.378886118,
15,5,0.17,0.969388,0.19,0.889362,0.55,0.147541,0.57,0.0892157,0.187341364,0.566302016,0.378960652,
13,10,0.43,0.916981,0.45,0.886228,0.81,0.111554,0.83,0.0887338,0.441043475,0.820126116,0.379082641,
5,9,0.41,0.903125,0.43,0.895604,0.79,0.118697,0.81,0.0712106,0.418310065,0.797874676,0.379564611,
16,9,0.37,0.94359,0.39,0.891892,0.75,0.135161,0.77,0.0930931,0.386863322,0.766716309,0.379852987,
8,6,0.25,0.918803,0.27,0.892977,0.63,0.177903,0.65,0.0802775,0.264561295,0.64595956,0.381398265,
9,2,0.07,0.909483,0.09,0.878571,0.45,0.123682,0.47,0.0712106,0.076135481,0.459026632,0.38289115,
11,2,0.05,0.96124,0.07,0.899038,0.45,0.106075,0.47,0.0705314,0.069690685,0.453418337,0.383727652,
6,11,0.51,0.905109,0.53,0.891599,0.89,0.115163,0.91,0.0884354,0.517563286,0.901346324,0.383783037,
8,4,0.15,0.917749,0.17,0.89604,0.55,0.101179,0.57,0.0755597,0.166351744,0.5509204,0.384568656,
19,4,0.15,0.914141,0.17,0.868327,0.53,0.141315,0.55,0.0666667,0.156173222,0.541069241,0.384896019,
10,10,0.45,0.964029,0.47,0.887043,0.85,0.104508,0.87,0.0713578,0.466633933,0.852719742,0.386085809,
16,11,0.47,0.92233,0.49,0.884462,0.85,0.178571,0.87,0.0933962,0.481793599,0.868449354,0.386655755,
15,11,0.47,0.951542,0.49,0.896907,0.87,0.114481,0.89,0.0744275,0.488867759,0.877230829,0.38836307,
7,10,0.49,0.921769,0.51,0.886544,0.89,0.103676,0.91,0.0748614,0.502359972,0.892551484,0.390191513,
6,4,0.15,0.922764,0.17,0.892086,0.55,0.112462,0.57,0.0665362,0.164840602,0.555427015,0.390586412,
2,9,0.39,0.900398,0.41,0.887147,0.77,0.121659,0.79,0.0875764,0.390600709,0.782709711,0.392109002,
15,6,0.21,0.910995,0.23,0.896552,0.61,0.115538,0.63,0.0858537,0.225225369,0.620468834,0.395243465,
9,3,0.09,0.933921,0.11,0.9,0.49,0.127184,0.51,0.0940834,0.11,0.50642508,0.39642508,
20,3,0.07,0.945946,0.09,0.897638,0.47,0.131132,0.49,0.0960233,0.089022108,0.487734636,0.398712527,
20,8,0.35,0.900662,0.37,0.891061,0.75,0.103025,0.77,0.0857988,0.351379023,0.753512092,0.402133069,
8,8,0.33,0.937063,0.35,0.897561,0.75,0.103064,0.77,0.0740741,0.348765126,0.75211384,0.403348714,
7,7,0.33,0.906149,0.35,0.859296,0.73,0.119843,0.75,0.0753564,0.332624805,0.738920889,0.406296083,
1,8,0.31,0.944444,0.33,0.896396,0.73,0.106594,0.75,0.0797101,0.328499833,0.734905538,0.406405705,
15,4,0.11,0.964602,0.13,0.841808,0.51,0.122488,0.53,0.0995074,0.120522012,0.529571291,0.409049278,
14,10,0.43,0.948454,0.45,0.890909,0.85,0.11133,0.87,0.0734574,0.446840386,0.855983217,0.409142832,
3,8,0.29,0.93617,0.31,0.88125,0.71,0.10892,0.73,0.0754352,0.303171886,0.715327791,0.412155904,
14,8,0.33,0.915556,0.35,0.893471,0.75,0.108863,0.77,0.0862895,0.34408739,0.75785257,0.413765181,
14,2,0.03,0.90411,0.05,0.896907,0.45,0.111874,0.47,0.0682046,0.041411912,0.455438133,0.414026221,
3,4,0.11,0.925676,0.13,0.877193,0.53,0.118628,0.55,0.0525773,0.120591754,0.535640516,0.415048762,
13,11,0.43,0.910112,0.45,0.896396,0.85,0.127173,0.87,0.0869565,0.444744824,0.863513359,0.418768535,
12,10,0.35,0.969072,0.37,0.896907,0.79,0.104508,0.81,0.0605487,0.369142798,0.792050988,0.42290819,
2,10,0.39,0.929412,0.41,0.894737,0.83,0.1159,0.85,0.0528801,0.406964384,0.835046025,0.428081642,
12,3,0.03,0.986667,0.05,0.887931,0.47,0.116883,0.49,0.0677481,0.047555299,0.476872101,0.429316802,
16,2,0.01,0.92,0.03,0.848276,0.43,0.140639,0.45,0.0875706,0.015576934,0.445315706,0.429738772,
5,8,0.31,0.914773,0.33,0.883929,0.73,0.142713,0.75,0.0987415,0.319579173,0.749427584,0.429848411,
20,7,0.27,0.920398,0.29,0.876106,0.71,0.101365,0.73,0.056338,0.279210693,0.710606303,0.43139561,
7,6,0.23,0.958763,0.25,0.892523,0.67,0.121857,0.69,0.0822467,0.247742452,0.681036018,0.433293567,
