"drive","beta","speed","suppressed","gens_till_suppression","chased","gens_till_chasing","average_nondrive_GC","variance_in_nondrive_GC","average_overall_GC","variance_in_overall_GC","average_popsize_during_chase","variance_in_popsize_during_chase","duration_of_chase","drive_loss","gens_till_drive_loss","equilibrium_state","gens_till_equilibrium_state","simulation_stopped_after_1000_gens","rate_of_drive_after_1000_gens","r1_resistance_formed","gens_till_r1_resistance_formed","average_number_of_fertile_females_during_chase","long_term_chase","drive_loss_with_chase","drive_loss_without_chase","outcome"
"zpg",10,0.0307,0,10000,1,84,0.000492798,2.28e-07,1.03e-05,1.89e-09,56296.48604,2074269.873,3084,0,10000,0,10000,1,0.628154,0,10000,11101.68766,1,0,0,"Long term chasing"
"zpg",10,0.0307,0,10000,1,83,0.000502679,2.36e-07,1.15e-05,2.02e-09,56256.98345,1720769.794,3085,0,10000,0,10000,1,0.6576,0,10000,11048.03387,1,0,0,"Long term chasing"
"zpg",10,0.0307,0,10000,1,88,0.00052296,3.32e-07,1.31e-05,4.29e-09,56304.41775,2057760.69,3080,0,10000,0,10000,1,0.652195,0,10000,11099.16965,1,0,0,"Long term chasing"
"zpg",10,0.0307,0,10000,1,76,0.000497358,2.04e-07,1.03e-05,1.05e-09,56236.42228,1425236.5,3092,0,10000,0,10000,1,0.646986,0,10000,11019.90718,1,0,0,"Long term chasing"
"zpg",10,0.0307,0,10000,1,76,0.000509114,3.46e-07,1.33e-05,4.76e-09,56311.36496,1910872.756,3092,0,10000,0,10000,1,0.654451,0,10000,11138.86726,1,0,0,"Long term chasing"
"zpg",10,0.0307,0,10000,1,73,0.000525675,3.76e-07,1.14e-05,2.12e-09,56264.15723,1522328.103,3095,0,10000,0,10000,1,0.642857,0,10000,11097.82765,1,0,0,"Long term chasing"
"zpg",10,0.0307,0,10000,1,76,0.00051627,2.19e-07,9.67e-06,8.05e-10,56287.16969,1397308.462,3092,0,10000,0,10000,1,0.66733,0,10000,11106.89126,1,0,0,"Long term chasing"
"zpg",10,0.0307,0,10000,1,76,0.000502301,3.68e-07,1.34e-05,3.61e-09,56301.44916,1822957.567,3092,0,10000,0,10000,1,0.627539,0,10000,11136.76339,1,0,0,"Long term chasing"
"zpg",10,0.0307,0,10000,1,78,0.000520457,2.07e-07,1.16e-05,1.83e-09,56187.89112,2056591.762,3090,0,10000,0,10000,1,0.663897,0,10000,11017.71898,1,0,0,"Long term chasing"
"zpg",10,0.0307,0,10000,1,74,0.000510677,1.47e-07,1.04e-05,8.93e-10,56277.51618,1372193.226,3094,0,10000,0,10000,1,0.681352,0,10000,11122.76688,1,0,0,"Long term chasing"
