Generation,Wild_Type_Gene_Frequency,Num_Wild_Gene
25,0.448332,113015
26,0.392032,104745
27,0.337916,96177
28,0.290042,87744
29,0.246645,78688
30,0.206445,68773
31,0.174003,60427
32,0.143337,51935
33,0.120065,44882
34,0.100387,38378
35,0.0813888,31971
36,0.0674807,27190
37,0.0539287,22005
38,0.0431911,17910
39,0.0366778,15355
40,0.0282333,11933
41,0.0235457,10065
42,0.0189637,8131
43,0.0149803,6444
44,0.0114134,4958
45,0.00943696,4098
46,0.00841634,3667
47,0.00620802,2705
48,0.00684654,2976
49,0.00448455,1954
50,0.00442375,1947
51,0.00311922,1369
52,0.00146755,646
53,NAN,0
54,NAN,0
55,NAN,0
56,NAN,0
57,NAN,0
58,NAN,0
59,NAN,0
60,NAN,0
61,NAN,0
62,NAN,0
63,NAN,0
64,NAN,0
65,NAN,0
66,NAN,0
67,NAN,0
68,NAN,0
69,NAN,0
70,NAN,0
71,NAN,0
72,NAN,0
73,NAN,0
74,NAN,0
75,NAN,0
76,NAN,0
77,NAN,0
78,NAN,0
79,NAN,0
80,NAN,0
81,NAN,0
82,NAN,0
83,NAN,0
84,NAN,0
85,NAN,0
86,NAN,0
87,NAN,0
88,NAN,0
89,NAN,0
90,NAN,0
NAN,NAN,NAN
1,0.995142,149960
2,0.992654,147704
3,0.991533,149419
4,0.988257,149293
5,0.985166,150094
6,0.980447,149424
7,0.975155,148717
8,0.969552,148643
9,0.961283,148845
10,0.951057,148460
11,0.938558,147591
12,0.92207,147663
13,0.90276,146908
14,0.88021,147047
15,0.850986,144808
16,0.81811,143580
17,0.776054,141591
18,0.733434,139293
19,0.682669,135935
20,0.630563,131055
21,0.572241,125038
22,0.51706,121021
23,0.459341,114574
24,0.404102,107502
25,0.352183,98886
26,0.299827,88543
27,0.254349,79994
28,0.212943,70306
29,0.177019,60963
30,0.147665,52906
31,0.121582,45161
32,0.100271,38412
33,0.0816352,32077
34,0.0668442,26836
35,0.0538346,21904
36,0.0436805,18055
37,0.0343015,14382
38,0.0301789,12722
39,0.0240936,10257
40,0.020228,8668
41,0.0164379,7036
42,0.011715,5047
43,0.0099645,4309
44,0.0084798,3689
45,0.00582265,2543
46,0.00339939,1494
47,0.00165916,729
48,NAN,0
49,NAN,0
50,NAN,0
51,NAN,0
52,NAN,0
53,NAN,0
54,NAN,0
55,NAN,0
56,NAN,0
57,NAN,0
58,NAN,0
59,NAN,0
60,NAN,0
61,NAN,0
62,NAN,0
63,NAN,0
64,NAN,0
65,NAN,0
66,NAN,0
67,NAN,0
68,NAN,0
69,NAN,0
70,NAN,0
71,NAN,0
72,NAN,0
73,NAN,0
74,NAN,0
75,NAN,0
76,NAN,0
77,NAN,0
78,NAN,0
79,NAN,0
80,NAN,0
81,NAN,0
82,NAN,0
83,NAN,0
84,NAN,0
85,NAN,0
86,NAN,0
87,NAN,0
88,NAN,0
89,NAN,0
90,NAN,0
NAN,NAN,NAN
1,0.994978,150565
2,0.993256,149633
3,0.99168,150310
4,0.988975,149622
5,0.985952,148790
6,0.981687,149725
7,0.976936,149989
8,0.970985,149154
9,0.962751,148460
10,0.953508,147789
11,0.940677,147960
12,0.92486,146372
13,0.905049,145978
14,0.882316,146558
15,0.854437,145121
16,0.822462,142670
17,0.785047,141679
18,0.7419,138184
19,0.692455,135136
20,0.643016,132343
21,0.585683,127929
22,0.526997,121408
23,0.468873,115717
24,0.412001,107927
25,0.356131,98910
26,0.304457,90266
27,0.261735,82391
28,0.219363,72104
29,0.184735,63451
30,0.154854,55329
31,0.130172,48230
32,0.108055,40995
33,0.0904653,35101
34,0.0736843,29215
35,0.0631299,25575
36,0.0508148,20781
37,0.0410028,16997
38,0.0338324,14232
39,0.0274616,11641
40,0.0221832,9470
41,0.0174693,7491
42,0.0135604,5862
43,0.0121829,5277
44,0.0106721,4613
45,0.00870238,3779
46,0.00689388,2991
47,0.00575985,2508
48,0.00524614,2297
49,0.00362147,1584
50,0.00503004,2205
51,0.0033264,1452
52,0.00343318,1501
53,0.00326099,1427
54,0.00348051,1518
55,0.00285431,1253
56,0.00187437,823
57,0.000887784,390
58,NAN,0
59,NAN,0
60,NAN,0
61,NAN,0
62,NAN,0
63,NAN,0
64,NAN,0
65,NAN,0
66,NAN,0
67,NAN,0
68,NAN,0
69,NAN,0
70,NAN,0
71,NAN,0
72,NAN,0
73,NAN,0
74,NAN,0
75,NAN,0
76,NAN,0
77,NAN,0
78,NAN,0
79,NAN,0
80,NAN,0
81,NAN,0
82,NAN,0
83,NAN,0
84,NAN,0
85,NAN,0
86,NAN,0
87,NAN,0
88,NAN,0
89,NAN,0
90,NAN,0
NAN,NAN,NAN
1,0.995395,151325
2,0.993206,148679
3,0.991939,149273
4,0.989394,150010
5,0.986935,150850
6,0.983196,151009
7,0.97912,149025
8,0.973714,148582
9,0.966744,148080
10,0.955871,147964
11,0.944855,148740
12,0.928829,149168
13,0.911856,148390
14,0.889879,146434
15,0.864113,144897
16,0.834957,143206
17,0.79933,143136
18,0.758913,140978
19,0.710938,136623
20,0.660222,134299
21,0.602556,129350
22,0.546301,124579
23,0.48792,117296
24,0.433086,111087
25,0.379141,103339
26,0.324346,93554
27,0.275985,84461
28,0.234172,75707
29,0.196878,66289
30,0.163469,57532
31,0.13578,49846
32,0.113253,42842
33,0.091725,35464
34,0.0749592,29734
35,0.0607448,24609
36,0.0487515,20032
37,0.0416791,17337
38,0.0319741,13379
39,0.0261307,11116
40,0.0217347,9264
41,0.0175493,7501
42,0.0140646,6079
43,0.0118303,5137
44,0.0108624,4685
45,0.0081459,3517
46,0.00727978,3165
47,0.00597169,2598
48,0.00404064,1763
49,0.00326486,1437
50,0.00323989,1415
51,0.00349791,1537
52,0.00274795,1202
53,0.00143918,632
54,NAN,0
55,NAN,0
56,NAN,0
57,NAN,0
58,NAN,0
59,NAN,0
60,NAN,0
61,NAN,0
62,NAN,0
63,NAN,0
64,NAN,0
65,NAN,0
66,NAN,0
67,NAN,0
68,NAN,0
69,NAN,0
70,NAN,0
71,NAN,0
72,NAN,0
73,NAN,0
74,NAN,0
75,NAN,0
76,NAN,0
77,NAN,0
78,NAN,0
79,NAN,0
80,NAN,0
81,NAN,0
82,NAN,0
83,NAN,0
84,NAN,0
85,NAN,0
86,NAN,0
87,NAN,0
88,NAN,0
89,NAN,0
90,NAN,0
NAN,NAN,NAN
1,0.995485,150385
2,0.993263,149940
3,0.992392,149225
4,0.989703,148782
5,0.986966,149102
6,0.983504,149943
7,0.97948,150123
8,0.974094,150481
9,0.967397,149815
10,0.958121,148642
11,0.947966,147694
12,0.933634,147122
13,0.916871,146339
14,0.895861,147189
15,0.870744,146757
16,0.841933,144890
17,0.808543,143809
18,0.769959,140626
19,0.725289,138697
20,0.677202,135206
21,0.623327,131110
22,0.565595,125066
23,0.507441,120198
24,0.450293,113381
25,0.394789,104905
26,0.343858,97571
27,0.295396,88016
28,0.250433,78813
29,0.210726,70280
30,0.176462,61084
31,0.145131,52167
32,0.12253,45643
33,0.101008,38582
34,0.0835115,32778
35,0.0684127,27390
36,0.0555452,22581
37,0.0449524,18547
38,0.0379226,15803
39,0.0324468,13560
40,0.0247369,10497
41,0.0201308,8607
42,0.0172267,7383
43,0.0135688,5841
44,0.0102295,4449
45,0.00783349,3408
46,0.00731742,3201
47,0.00564056,2471
48,0.00395333,1733
49,0.00432519,1903
50,0.00262517,1148
51,0.00126832,557
52,NAN,0
53,NAN,0
54,NAN,0
55,NAN,0
56,NAN,0
57,NAN,0
58,NAN,0
59,NAN,0
60,NAN,0
61,NAN,0
62,NAN,0
63,NAN,0
64,NAN,0
65,NAN,0
66,NAN,0
67,NAN,0
68,NAN,0
69,NAN,0
70,NAN,0
71,NAN,0
72,NAN,0
73,NAN,0
74,NAN,0
75,NAN,0
76,NAN,0
77,NAN,0
78,NAN,0
79,NAN,0
80,NAN,0
81,NAN,0
82,NAN,0
83,NAN,0
84,NAN,0
85,NAN,0
86,NAN,0
87,NAN,0
88,NAN,0
89,NAN,0
90,NAN,0
NAN,NAN,NAN
1,0.995267,151206
2,0.992986,149493
