Number,DRIVE_EFFICIENCY,Before_Start_Generation,Before_Start,Start_Generation,Start,Actual_Start_Generation,Before_Stop_Generation,Before_Stop,Stop_Generation,Stop,Actual_Stop_Generation,Timed_Gens_Tester,Actual_Timed_Gens
11,0.5,9,0.432927,10,0.512552,9.842361068,28,0.472222,29,0.577167,28.26469103,19,18.42232996
12,0.5,10,0.492662,11,0.573441,10.09084044,26,0.472689,27,0.530242,26.47453651,16,16.38369607
13,0.5,8,0.427767,9,0.509766,8.880900987,22,0.39272,23,0.509091,22.92187916,14,14.04097818
14,0.5,10,0.484375,11,0.537074,10.29649519,27,0.487342,28,0.572961,27.14784102,17,16.85134583
15,0.5,11,0.49522,12,0.516779,11.22171715,26,0.417166,27,0.544402,26.65102644,15,15.42930929
16,0.5,11,0.485605,12,0.532692,11.30571071,33,0.454365,34,0.518519,33.71133522,22,22.40562452
17,0.5,12,0.499033,13,0.628514,12.00746828,28,0.472036,29,0.5,29,16,16.99253172
18,0.5,10,0.442656,11,0.532468,10.63848929,26,0.464896,27,0.532895,26.51624289,16,15.8777536
19,0.5,9,0.392781,10,0.503055,9.97229628,27,0.45339,28,0.51417,27.7668641,18,17.79456782
0,0.5,9,0.452138,10,0.5706,9.404028296,33,0.49095,34,0.58871,33.09257365,24,23.68854535
1,0.5,10,0.482402,11,0.546667,10.2738349,28,0.489177,29,0.536325,28.22955375,18,17.95571884
2,0.5,8,0.403704,9,0.509395,8.911108798,28,0.496047,29,0.558577,28.06321766,20,19.15210886
3,0.5,9,0.438224,10,0.516315,9.791077077,29,0.450102,30,0.545802,29.52140021,20,19.73032313
4,0.5,9,0.486328,10,0.556213,9.195635687,27,0.437736,28,0.506667,27.90328009,18,18.7076444
5,0.5,10,0.459406,11,0.57551,10.34963481,30,0.473214,31,0.516129,30.62416405,20,20.27452924
6,0.5,10,0.488613,11,0.519362,10.37032099,29,0.495833,30,0.556225,29.06899921,19,18.69867822
7,0.5,9,0.441288,10,0.506726,9.897215685,29,0.463265,30,0.532803,29.52827231,20,19.63105663
8,0.5,11,0.485232,12,0.585603,11.14713413,29,0.454737,30,0.507722,29.85426064,18,18.70712651
9,0.5,8,0.412916,9,0.558091,8.599855347,28,0.460123,29,0.507937,28.83400259,20,20.23414725
10,0.5,9,0.383459,10,0.5,10,29,0.475564,30,0.526839,29.47656753,20,19.47656753
11,0.5,10,0.469083,11,0.521834,10.58609315,30,0.465164,31,0.520231,30.63261118,20,20.04651803
12,0.5,10,0.497984,11,0.553498,10.03631516,28,0.437624,29,0.515924,28.79662835,18,18.76031319
13,0.5,11,0.475634,12,0.556436,11.30155194,26,0.440711,27,0.515152,26.79645625,15,15.49490431
14,0.5,10,0.475904,11,0.521008,10.534232,29,0.444215,30,0.558491,29.48816024,19,18.95392825
15,0.5,10,0.450602,11,0.518812,10.72420466,28,0.487078,29,0.532895,28.28203505,18,17.55783039
16,0.5,12,0.481905,13,0.5625,12.22451765,28,0.42278,29,0.509677,28.88863827,16,16.66412062
17,0.5,10,0.453846,11,0.541053,10.52924651,28,0.498039,29,0.546053,28.04084225,18,17.51159575
18,0.5,11,0.418182,12,0.519231,11.80968639,29,0.425926,30,0.506356,29.92097476,18,18.11128837
19,0.5,10,0.484848,11,0.508671,10.63602401,27,0.494208,28,0.547325,27.1090423,17,16.47301829
0,0.5,11,0.452716,12,0.556503,11.45558692,28,0.371951,29,0.502041,28.98431086,17,17.52872394
1,0.5,12,0.494424,13,0.604167,12.05080962,30,0.493952,31,0.510917,30.35649867,18,18.30568905
2,0.5,10,0.416499,11,0.50469,10.94681997,30,0.492188,31,0.571101,30.0989951,20,19.15217513
