Number,DRIVE_EFFICIENCY,Before_Start_Generation,Before_Start,Start_Generation,Start,Actual_Start_Generation,Before_Stop_Generation,Before_Stop,Stop_Generation,Stop,Actual_Stop_Generation,Timed_Gens_Tester,Actual_Timed_Gens
118,0.85,5,0.381238,6,0.532544,5.784912693,16,0.441237,17,0.600432,16.36912591,11,10.58421322
119,0.85,5,0.360153,6,0.507625,5.94829527,18,0.471111,19,0.634434,18.17688262,13,12.22858735
120,0.85,6,0.465553,7,0.606818,6.243846671,18,0.438596,19,0.582126,18.427813,12,12.18396633
121,0.85,6,0.435039,7,0.522989,6.738612848,18,0.436,19,0.617357,18.35289512,12,11.61428227
122,0.85,5,0.403846,6,0.532653,5.746496697,18,0.443439,19,0.527273,18.67467853,13,12.92818183
123,0.85,6,0.493151,7,0.621053,6.053548811,17,0.397849,18,0.518672,17.84545989,11,11.79191108
124,0.85,5,0.390593,6,0.517526,5.861927158,16,0.423002,17,0.546237,16.62480626,11,10.76287911
125,0.85,6,0.403101,7,0.568317,6.586498886,17,0.410596,18,0.522863,17.79635155,11,11.20985267
126,0.85,5,0.385069,6,0.521097,5.844906931,17,0.48816,18,0.60735,17.09933719,12,11.25443026
127,0.85,6,0.484783,7,0.570136,6.17828313,18,0.465677,19,0.586498,18.28408141,12,12.10579828
128,0.85,6,0.467557,7,0.532178,6.502050417,17,0.44186,18,0.59481,17.38012422,11,10.87807381
129,0.85,5,0.447227,6,0.547564,5.525957523,18,0.44894,19,0.584222,18.3774338,13,12.85147628
130,0.85,6,0.481262,7,0.618721,6.136317011,17,0.464491,18,0.668172,17.17433634,11,11.03801933
131,0.85,5,0.370874,6,0.518672,5.873665408,17,0.38193,18,0.568932,17.63138362,12,11.75771821
132,0.85,5,0.35743,6,0.501742,5.987928932,16,0.4,17,0.581712,16.55032139,11,10.56239246
133,0.85,5,0.393715,6,0.532567,5.765455305,16,0.361818,17,0.515385,16.89981572,11,11.13436041
134,0.85,6,0.484848,7,0.588095,6.146754869,17,0.366906,18,0.560799,17.68643014,11,11.53967528
135,0.85,6,0.465696,7,0.638889,6.198068051,17,0.406667,18,0.531187,17.74954224,11,11.55147419
136,0.85,6,0.38758,7,0.511202,6.909385061,20,0.497278,21,0.576344,20.03442693,14,13.12504187
137,0.85,5,0.394422,6,0.51,5.913478344,18,0.397959,19,0.554852,18.65038593,13,12.73690759
138,0.85,6,0.469314,7,0.606667,6.223409754,16,0.486542,17,0.614907,16.10484166,10,9.881431908
139,0.85,6,0.413519,7,0.564482,6.572862225,16,0.429142,17,0.550228,16.58518739,10,10.01232516
140,0.85,5,0.404806,6,0.506849,5.932881236,17,0.393474,18,0.516874,17.8632577,12,11.93037646
141,0.85,6,0.48816,7,0.616438,6.092299537,19,0.490281,20,0.638655,19.06550339,13,12.97320385
142,0.85,5,0.434483,6,0.514793,5.81580127,17,0.497899,18,0.678959,17.01160389,12,11.19580262
143,0.85,7,0.472767,8,0.62395,7.180132687,16,0.355828,17,0.528226,16.8362742,9,9.656141516
144,0.85,6,0.48643,7,0.563636,6.175763542,16,0.416996,17,0.520231,16.80402964,10,10.6282661
145,0.85,6,0.473799,7,0.586758,6.231951416,17,0.365854,18,0.529046,17.82201333,11,11.59006192
146,0.85,5,0.329457,6,0.510319,5.94294545,18,0.336082,19,0.541825,18.7967124,13,12.85376695
147,0.85,6,0.487805,7,0.609375,6.100312577,17,0.368317,18,0.554113,17.70875046,11,11.60843788
148,0.85,6,0.404412,7,0.534591,6.734281259,17,0.450304,18,0.528634,17.63444402,11,10.90016276
149,0.85,5,0.3659,6,0.505447,5.960966556,17,0.358531,18,0.508065,17.94606578,12,11.98509922
150,0.85,5,0.354037,6,0.524731,5.855115001,17,0.381783,18,0.522523,17.83996732,12,11.98485231
151,0.85,5,0.397059,6,0.605313,5.494305031,17,0.375451,18,0.523715,17.84004883,12,12.3457438
152,0.85,5,0.43295,6,0.552743,5.559715509,16,0.435315,17,0.597015,16.40003092,11,10.84031541
153,0.85,6,0.474308,7,0.618421,6.178276769,17,0.358047,18,0.504912,17.96655432,11,11.78827755
154,0.85,6,0.466667,7,0.635394,6.197555815,17,0.498947,18,0.594488,17.01102145,11,10.81346563
155,0.85,6,0.451271,7,0.5629,6.436526351,17,0.420857,18,0.527495,17.74216508,11,11.30563873
156,0.85,5,0.413043,6,0.559748,5.592733717,16,0.330798,17,0.500914,16.9946272,11,11.40189348
157,0.85,7,0.463221,8,0.585746,7.300175474,18,0.461818,19,0.580838,18.32080323,11,11.02062775
158,0.85,5,0.311377,6,0.527237,5.873820995,16,0.421933,17,0.526639,16.74558287,11,10.87176188
159,0.85,5,0.420259,6,0.538627,5.673670249,16,0.359438,17,0.525591,16.84597931,11,11.17230906
160,0.85,6,0.43662,7,0.555556,6.532891639,16,0.45572,17,0.577181,16.36456146,10,9.831669825
