Number,DriveEfficiency,Before_Start_Generation,Before_Start,Start_Generation,Start,Actual_Start_Generation,Before_Stop_Generation,Before_Stop,Stop_Generation,Stop,Actual_Stop_Generation,Timed_Gens_Tester,Actual_Timed_Gens
7,0.5,30,0.460929,31,0.504386,30.89907265,64,0.491335,65,0.531494,64.21576732,34,33.31669468
7,0.5,32,0.455399,33,0.500531,32.98823451,62,0.475445,63,0.534562,62.41536276,30,29.42712824
7,0.5,30,0.465814,31,0.503489,30.90739217,60,0.486385,61,0.509561,60.58746117,30,29.680069
7,0.5,33,0.48064,34,0.507519,33.72026489,62,0.474366,63,0.514813,62.63376765,29,28.91350276
7,0.5,29,0.454909,30,0.518167,29.71281103,60,0.487378,61,0.510898,60.53664966,31,30.82383863
7,0.5,30,0.470341,31,0.508475,30.77775738,60,0.494048,61,0.517152,60.25761773,30,29.47986035
7,0.5,30,0.467769,31,0.507718,30.80680367,59,0.479795,60,0.502809,59.87794386,29,29.07114019
7,0.5,29,0.486822,30,0.50192,29.87283084,61,0.496606,62,0.501988,61.63062059,32,31.75778975
7,0.5,30,0.479353,31,0.514199,30.59252138,60,0.483007,61,0.518558,60.47798937,30,29.88546799
7,0.5,33,0.476112,34,0.51876,33.56012005,62,0.494002,63,0.51717,62.25889157,29,28.69877152
7,0.5,33,0.474866,34,0.500817,33.96851759,60,0.466839,61,0.508511,60.79576214,27,26.82724455
7,0.5,25,0.469243,26,0.517416,25.63846968,58,0.492738,59,0.510142,58.4172604,33,32.77879072
7,0.5,34,0.499161,35,0.537978,34.02161424,61,0.498707,62,0.534043,61.03659158,27,27.01497734
7,0.5,33,0.454545,34,0.500531,33.98845301,64,0.487907,65,0.507748,64.60949549,31,30.62104248
7,0.5,31,0.486828,32,0.520062,31.3963411,62,0.49162,63,0.504961,62.62813882,31,31.23179772
7,0.5,32,0.492308,33,0.509648,32.44359862,58,0.485976,59,0.500265,58.98145427,26,26.53785565
7,0.5,30,0.470879,31,0.524433,30.54376891,58,0.490659,59,0.534847,58.21139223,28,27.66762333
7,0.5,35,0.493996,36,0.523303,35.20486573,65,0.490281,66,0.512284,65.44171249,30,30.23684676
7,0.5,31,0.481974,32,0.514793,31.549255,61,0.485037,62,0.504673,61.76201874,30,30.21276374
8,0.5,34,0.476907,35,0.513598,34.6293914,64,0.481633,65,0.536119,64.33709577,30,29.70770436
8,0.5,32,0.499441,33,0.52325,32.02347852,61,0.497143,62,0.52868,61.090592,29,29.06711349
8,0.5,31,0.483638,32,0.508939,31.64669381,64,0.4973,65,0.523433,64.10331764,33,32.45662384
8,0.5,31,0.473577,32,0.500792,31.9708984,61,0.484785,62,0.504767,61.76143529,30,29.79053689
8,0.5,34,0.484731,35,0.509269,34.62225935,65,0.494857,66,0.504524,65.53201614,31,30.90975678
8,0.5,30,0.480425,31,0.503916,30.83329786,61,0.455925,62,0.510124,61.81320689,31,30.97990903
8,0.5,31,0.477028,32,0.515376,31.59904037,62,0.472178,63,0.5,63,31,31.40095963
8,0.5,28,0.47785,29,0.51049,28.6786152,60,0.487349,61,0.508091,60.6099219,32,31.9313067
8,0.5,31,0.48272,32,0.516376,31.51343,62,0.478982,63,0.501351,62.93960392,31,31.42617392
8,0.5,34,0.47757,35,0.510326,34.68476004,60,0.482593,61,0.509192,60.6544231,26,25.96966305
8,0.5,35,0.498936,36,0.522765,35.04465148,63,0.471678,64,0.50279,63.91032399,28,28.86567252
8,0.5,31,0.493743,32,0.51702,31.26880612,61,0.487467,62,0.514589,61.46209719,30,30.19329107
8,0.5,31,0.494966,32,0.513598,31.27018033,61,0.495385,62,0.510938,61.29672732,30,30.02654698
8,0.5,33,0.489362,34,0.512984,33.4503429,59,0.487349,60,0.50053,59.95979061,26,26.50944771
8,0.5,33,0.4866,34,0.529644,33.31130936,64,0.48045,65,0.510341,64.65404302,31,31.34273367
8,0.5,34,0.482391,35,0.513676,34.5628576,62,0.480533,63,0.518595,62.51145499,28,27.94859739
8,0.5,35,0.475437,36,0.502968,35.89219425,64,0.490319,65,0.522809,64.29796861,29,28.40577435
8,0.5,34,0.487752,35,0.512064,34.50378414,59,0.480583,60,0.5,60,25,25.49621586
8,0.5,32,0.480066,33,0.503047,32.86741221,66,0.497863,67,0.526656,66.07421943,34,33.20680722
8,0.5,30,0.464737,31,0.505102,30.87360337,60,0.489954,61,0.551181,60.16407794,30,29.29047457
9,0.5,33,0.49039,34,0.500826,33.9208509,61,0.479726,62,0.501374,61.93652993,28,28.01567903
9,0.5,30,0.496658,31,0.506356,30.34460714,62,0.488124,63,0.526193,62.31195986,32,31.96735273
9,0.5,29,0.495566,30,0.511351,29.28089959,64,0.483115,65,0.514092,64.54508183,35,35.26418225
9,0.5,33,0.48774,34,0.504983,33.71101316,62,0.476796,63,0.501351,62.94498066,29,29.23396749
9,0.5,30,0.437603,31,0.501354,30.97876112,61,0.476596,62,0.515778,61.59731509,31,30.61855398
9,0.5,34,0.480526,35,0.502447,34.88837188,65,0.485971,66,0.51912,65.42321035,31,30.53483847
9,0.5,32,0.467985,33,0.534444,32.48172558,64,0.488864,65,0.526059,64.29939508,32,31.8176695
9,0.5,33,0.466182,34,0.500265,33.99222486,59,0.494412,60,0.516854,59.24899742,26,25.25677255
9,0.5,32,0.49528,33,0.51075,32.30510666,60,0.488157,61,0.543609,60.2135721,28,27.90846544
9,0.5,26,0.456236,27,0.51689,26.72153527,59,0.478188,60,0.513005,59.62647557,33,32.90494031
9,0.5,29,0.49168,30,0.513761,29.37679453,63,0.494646,64,0.526343,63.16891188,34,33.79211736
9,0.5,34,0.499185,35,0.524491,34.0322058,64,0.495475,65,0.531882,64.12428929,30,30.09208348
9,0.5,29,0.48604,30,0.544879,29.2372576,54,0.493982,55,0.516367,54.26884074,25,25.03158314
9,0.5,31,0.476872,32,0.512582,31.64766172,62,0.483802,63,0.532362,62.33356672,31,30.685905
9,0.5,28,0.485698,29,0.500817,28.94596203,58,0.480371,59,0.525779,58.43228066,30,29.48631862
9,0.5,33,0.490808,34,0.514604,33.38628341,62,0.468581,63,0.500287,62.99094809,29,29.60466468
9,0.5,32,0.492888,33,0.532182,32.18099455,65,0.483974,66,0.501063,65.93779624,33,33.75680169
9,0.5,34,0.487074,35,0.533659,34.27747129,61,0.499731,62,0.509703,61.02697553,27,26.74950424
9,0.5,31,0.499469,32,0.503921,31.11927224,62,0.492165,63,0.521353,62.26843223,31,31.14916
9,0.5,37,0.486698,38,0.531346,37.29793048,59,0.494401,60,0.523758,59.19072112,22,21.89279064
0,0.55,27,0.490405,28,0.509531,27.50167312,56,0.49506,57,0.535508,56.12213212,29,28.62045901
0,0.55,26,0.496088,27,0.524202,26.13914776,54,0.498037,55,0.539813,54.0469887,28,27.90784095
0,0.55,29,0.48836,30,0.517572,29.39846638,57,0.496541,58,0.532274,57.09680128,28,27.69833489
0,0.55,26,0.493287,27,0.52313,26.22494387,54,0.497625,55,0.543046,54.05228859,28,27.82734472
0,0.55,28,0.496716,29,0.549751,28.06192137,56,0.489881,57,0.526121,56.27922185,28,28.21730048
0,0.55,28,0.460632,29,0.518597,28.67916846,58,0.485965,59,0.529129,58.32515522,30,29.64598676
0,0.55,26,0.482303,27,0.515676,26.53027897,55,0.484452,56,0.516495,55.48522298,29,28.95494401
0,0.55,27,0.468182,28,0.502688,27.9221005,55,0.465746,56,0.517951,55.65614405,28,27.73404354
0,0.55,28,0.470177,29,0.518499,28.6171723,55,0.486586,56,0.503864,55.776363,27,27.1591907
0,0.55,28,0.473712,29,0.526612,28.49693762,57,0.497064,58,0.525997,57.10147582,29,28.60453821
0,0.55,28,0.493664,29,0.512696,28.33291299,56,0.486642,57,0.509025,56.59679221,28,28.26387922
0,0.55,28,0.482162,29,0.527687,28.39182867,55,0.489286,56,0.503543,55.7514905,27,27.35966183
0,0.55,27,0.49787,28,0.536885,27.05459439,52,0.487664,53,0.514883,52.45321283,25,25.39861844
0,0.55,29,0.47716,30,0.506024,29.79129712,59,0.490957,60,0.505963,59.60262562,30,29.8113285
0,0.55,26,0.474292,27,0.513824,26.65030861,56,0.499458,57,0.529379,56.01811437,30,29.36780576
0,0.55,29,0.496901,30,0.511322,29.21489494,58,0.498159,59,0.529756,58.05826503,29,28.84337008
0,0.55,26,0.474934,27,0.52687,26.48263247,55,0.479036,56,0.51158,55.64417404,29,29.16154157
0,0.55,26,0.490138,27,0.510571,26.48265061,52,0.488773,53,0.524116,52.31765838,26,25.83500776
0,0.55,30,0.498153,31,0.529603,30.05872814,60,0.499738,61,0.518332,60.01409057,30,29.95536243
0,0.55,30,0.482199,31,0.509763,30.64580612,56,0.473449,57,0.517867,56.59775316,26,25.95194704
1,0.55,27,0.48208,28,0.521242,27.45758644,58,0.488253,59,0.542655,58.21592956,31,30.75834313
1,0.55,27,0.486294,28,0.543663,27.23890952,56,0.467715,57,0.520833,56.60779773,29,29.36888822
1,0.55,28,0.481959,29,0.505648,28.7615771,60,0.48409,61,0.505443,60.74509437,32,31.98351726
1,0.55,27,0.465622,28,0.512448,27.73416478,56,0.492475,57,0.512767,56.3708358,29,28.63667102
1,0.55,26,0.485588,27,0.528028,26.3395853,61,0.496407,62,0.529791,61.10762641,35,34.76804111
1,0.55,28,0.487493,29,0.522133,28.36105658,54,0.466958,55,0.5,55,26,26.63894342
1,0.55,26,0.477612,27,0.504379,26.83640303,60,0.489451,61,0.532317,60.24609247,34,33.40968944
1,0.55,25,0.484086,26,0.514964,25.51538312,57,0.484199,58,0.535903,57.30560498,32,31.79022186
