Number,DRIVE_EFFICIENCY,Before_Start_Generation,Before_Start,Start_Generation,Start,Actual_Start_Generation,Before_Stop_Generation,Before_Stop,Stop_Generation,Stop,Actual_Stop_Generation,Timed_Gens_Tester,Actual_Timed_Gens
106,0.5,31,0.486631,32,0.520811,31.39113517,73,0.471839,74,0.506842,73.80453104,42,42.41339587
107,0.5,31,0.466327,32,0.503297,31.91081958,74,0.471294,75,0.508161,74.77863672,43,42.86781714
108,0.5,43,0.473926,44,0.517045,43.60469862,89,0.49069,90,0.515952,89.36853772,46,45.7638391
109,0.5,32,0.498335,33,0.526953,32.05818017,71,0.481689,72,0.51658,71.52480582,39,39.46662566
110,0.5,38,0.471854,39,0.509934,38.73912815,84,0.470718,85,0.509434,84.75632813,46,46.01719998
111,0.5,32,0.492072,33,0.523086,32.25562649,74,0.456989,75,0.517742,74.70796504,42,42.45233855
112,0.5,35,0.482816,36,0.527356,35.38581051,78,0.491506,79,0.541461,78.17003303,43,42.78422252
113,0.5,29,0.480895,30,0.507769,29.71091017,68,0.452765,69,0.500568,68.9881179,39,39.27720773
114,0.5,32,0.466991,33,0.508484,32.79553178,74,0.453786,75,0.512286,74.78998291,42,41.99445113
115,0.5,34,0.489594,35,0.5245,34.29811494,72,0.487844,73,0.506736,72.64344696,38,38.34533202
116,0.5,34,0.486667,35,0.53083,34.30190431,77,0.488791,78,0.528004,77.28584908,43,42.98394477
117,0.5,36,0.484184,37,0.53108,36.33725691,78,0.48984,79,0.51164,78.46605505,42,42.12879814
118,0.5,31,0.489374,32,0.52938,31.26561016,75,0.477683,76,0.507592,75.74616336,44,44.4805532
119,0.5,32,0.49574,33,0.528939,32.12831712,75,0.496265,76,0.511086,75.25200729,43,43.12369017
120,0.5,35,0.448118,36,0.500541,35.9896801,78,0.485169,79,0.524607,78.37605862,43,42.38637852
121,0.5,33,0.459328,34,0.503198,33.9271028,75,0.489496,76,0.506472,75.61875589,42,41.69165309
122,0.5,32,0.477005,33,0.530067,32.43336097,77,0.468121,78,0.504405,77.87859663,45,45.44523565
123,0.5,34,0.494028,35,0.518287,34.24617668,76,0.484357,77,0.505411,76.74299421,42,42.49681753
124,0.5,35,0.479759,36,0.534858,35.36735694,72,0.478769,73,0.519883,72.51639344,37,37.1490365
125,0.5,30,0.473416,31,0.511339,30.70099939,74,0.488197,75,0.512876,74.47826087,44,43.77726148
126,0.5,39,0.493215,40,0.519459,39.25853528,79,0.486987,80,0.53424,79.27538992,40,40.01685464
127,0.5,34,0.490781,35,0.529615,34.23739507,73,0.495918,74,0.542225,73.08815082,39,38.85075575
128,0.5,32,0.475193,33,0.518171,32.57720229,76,0.484817,77,0.521637,76.41235741,44,43.83515512
129,0.5,30,0.462857,31,0.500544,30.98556531,71,0.476744,72,0.512141,71.65700483,41,40.67143952
130,0.5,33,0.454741,34,0.503293,33.93217581,72,0.477903,73,0.545126,72.3287119,39,38.39653609
131,0.5,37,0.492204,38,0.525516,37.23402978,78,0.489583,79,0.502146,78.82918093,41,41.59515115
132,0.5,35,0.478405,36,0.532004,35.40289931,78,0.494035,79,0.541801,78.12487962,43,42.72198031
133,0.5,31,0.469143,32,0.511693,31.72519389,73,0.489429,74,0.540929,73.20526214,42,41.48006825
134,0.5,36,0.496216,37,0.539459,36.08750549,82,0.491794,83,0.534483,82.19222751,46,46.10472201
135,0.5,34,0.488134,35,0.503688,34.76289057,77,0.450655,78,0.500991,77.9803123,43,43.21742173
136,0.5,33,0.487527,34,0.505011,33.7133951,75,0.475429,76,0.506438,75.79238286,42,42.07898775
137,0.5,40,0.478122,41,0.509444,40.69848669,82,0.45072,83,0.509815,82.8339115,42,42.13542481
138,0.5,33,0.498922,34,0.529538,33.03521035,73,0.472987,74,0.500579,73.97901566,40,40.94380531
139,0.5,41,0.494939,42,0.504496,41.52955949,83,0.48377,84,0.512834,83.55842279,42,42.02886331
140,0.5,33,0.46166,34,0.502744,33.93321001,75,0.477373,76,0.514532,75.60892381,42,41.67571381
141,0.5,32,0.493078,33,0.528324,32.19639108,74,0.476079,75,0.50418,74.85125085,42,42.65485977
142,0.5,32,0.494211,33,0.528302,32.16981021,72,0.496571,73,0.511198,72.23442948,40,40.06461927
143,0.5,36,0.482719,37,0.522931,36.42974734,80,0.496072,81,0.523529,80.14306006,44,43.71331272
144,0.5,38,0.490319,39,0.520645,38.31923102,79,0.454301,80,0.511294,79.80183531,41,41.48260429
145,0.5,39,0.481152,40,0.511665,39.61770393,76,0.491269,77,0.510074,76.46429141,37,36.84658748
146,0.5,33,0.460419,34,0.505952,33.86928162,78,0.490301,79,0.525989,78.27177202,45,44.4024904
147,0.5,36,0.492228,37,0.558499,36.11727603,72,0.481122,73,0.519459,72.49242246,36,36.37514643
148,0.5,29,0.494924,30,0.50989,29.33916878,72,0.469095,73,0.519092,72.61813709,43,43.27896831
149,0.5,35,0.487485,36,0.524633,35.33689566,75,0.491898,76,0.533298,75.19570048,40,39.85880482
150,0.5,35,0.468328,36,0.513483,35.70140627,74,0.478378,75,0.510836,74.66615318,39,38.96474692
151,0.5,34,0.48531,35,0.514161,34.50916779,76,0.486218,77,0.505525,76.71383436,42,42.20466657
152,0.5,33,0.478947,34,0.521978,33.48925193,73,0.486948,74,0.529252,73.30852874,40,39.81927681
153,0.5,31,0.490528,32,0.529167,31.24514092,76,0.482551,77,0.518539,76.48485606,45,45.23971514
154,0.5,31,0.473438,32,0.503209,31.89221054,73,0.482643,74,0.513825,73.55663524,42,41.6644247
155,0.5,36,0.478381,37,0.531625,36.40603636,79,0.474373,80,0.515727,79.61969822,43,43.21366185
156,0.5,39,0.477392,40,0.502629,39.89582755,78,0.492872,79,0.512555,78.36213992,39,38.46631236
157,0.5,34,0.47209,35,0.540942,34.40536223,74,0.489329,75,0.533221,74.24311948,40,39.83775725
158,0.5,37,0.486413,38,0.523182,37.36952324,76,0.45815,77,0.506982,76.85701999,39,39.48749675
159,0.5,36,0.481461,37,0.527572,36.40205157,80,0.483581,81,0.521875,80.42876169,44,44.02671011
160,0.5,32,0.488268,33,0.522478,32.34294066,67,0.492958,68,0.526464,67.21017131,35,34.86723065
161,0.5,35,0.484136,36,0.536405,35.30350686,77,0.497942,78,0.543621,77.04505353,42,41.74154667
