Number,DRIVE_EFFICIENCY,Before_Start_Generation,Before_Start,Start_Generation,Start,Actual_Start_Generation,Before_Stop_Generation,Before_Stop,Stop_Generation,Stop,Actual_Stop_Generation,Timed_Gens_Tester,Actual_Timed_Gens
152,0.5,84,0.480679,85,0.5,85,327,0.497775,328,0.510135,327.1800162,243,242.1800162
153,0.5,117,0.492326,118,0.505807,117.5692456,361,0.478689,362,0.506557,361.7647122,244,244.1954666
154,0.5,105,0.480874,106,0.513128,105.5929807,313,0.487165,314,0.521482,313.3740129,208,207.7810322
155,0.5,103,0.473964,104,0.503472,103.882337,340,0.498874,341,0.516631,340.0634116,237,236.1810746
156,0.5,121,0.482759,122,0.514408,121.5447565,317,0.496394,318,0.533447,317.0973201,196,195.5525635
157,0.5,90,0.499443,91,0.518846,90.0287069,308,0.485101,309,0.513363,308.5271743,218,218.4984674
158,0.5,138,0.493092,139,0.512291,138.3598104,404,0.49559,405,0.500522,404.8941606,266,266.5343502
159,0.5,83,0.469716,84,0.5,84,312,0.473804,313,0.511236,312.699829,229,228.699829
160,0.5,149,0.492554,150,0.511866,149.3855634,357,0.493868,358,0.519796,357.2365011,208,207.8509377
161,0.5,124,0.477925,125,0.509229,124.7051814,354,0.480392,355,0.523389,354.4560318,230,229.7508504
162,0.5,78,0.483412,79,0.50783,78.67933492,294,0.49162,295,0.507214,294.5373862,216,215.8580513
163,0.5,230,0.497738,231,0.509249,230.1965077,483,0.465078,484,0.509164,483.7921336,253,253.5956259
164,0.5,107,0.48172,108,0.505336,107.7740515,364,0.487818,365,0.512208,364.499467,257,256.7254155
165,0.5,122,0.481069,123,0.512514,122.6020353,369,0.48744,370,0.508671,369.5915878,247,246.9895525
166,0.5,173,0.484624,174,0.5,174,397,0.496102,398,0.505208,397.4280694,224,223.4280694
167,0.5,178,0.493514,179,0.501062,178.8593005,412,0.48234,413,0.506961,412.7172739,234,233.8579734
168,0.5,100,0.490142,101,0.506997,100.584871,364,0.491199,365,0.51082,364.44855,264,263.8636791
169,0.5,95,0.499438,96,0.511538,95.04644628,322,0.48832,323,0.5,323,227,227.9535537
170,0.5,83,0.481443,84,0.503867,83.82755084,286,0.494028,287,0.505495,286.5207988,203,202.693248
171,0.5,86,0.484479,87,0.521839,86.41544433,305,0.472885,306,0.505039,305.8432854,219,219.4278411
172,0.5,78,0.458678,79,0.50117,78.97246541,312,0.497814,313,0.50838,312.20689,234,233.2344246
173,0.5,141,0.495906,142,0.50279,141.5947124,358,0.491927,359,0.529121,358.2170511,217,216.6223388
174,0.5,62,0.484936,63,0.509561,62.61173604,282,0.474586,283,0.500566,282.978214,220,220.366478
175,0.5,130,0.485207,131,0.504009,130.786778,350,0.472652,351,0.502847,350.9057129,220,220.1189349
176,0.5,0,0,0,0,1000,0,0,0,0,1000,1000,1000
177,0.5,81,0.495376,82,0.50719,81.39140003,299,0.493179,300,0.520419,299.2504038,218,217.8590038
178,0.5,0,0,0,0,1000,0,0,0,0,1000,1000,1000
179,0.5,0,0,0,0,1000,0,0,0,0,1000,1000,1000
180,0.5,0,0,0,0,1000,0,0,0,0,1000,1000,1000
181,0.5,83,0.471564,84,0.507532,83.79059164,336,0.487111,337,0.540437,336.241702,253,252.4511103
182,0.5,92,0.488717,93,0.506555,92.63252607,370,0.491582,371,0.549771,370.1446665,278,277.5121404
183,0.5,0,0,0,0,1000,0,0,0,0,1000,1000,1000
184,0.5,0,0,0,0,1000,0,0,0,0,1000,1000,1000
185,0.5,142,0.491898,143,0.50113,142.8775997,374,0.479885,375,0.510321,374.660895,232,231.7832953
186,0.5,94,0.462845,95,0.501589,94.9589872,362,0.484831,363,0.530162,362.3346275,268,267.3756403
187,0.5,0,0,0,0,1000,0,0,0,0,1000,1000,1000
188,0.5,0,0,0,0,1000,0,0,0,0,1000,1000,1000
189,0.5,102,0.498878,103,0.5,103,341,0.498315,342,0.500563,341.7495552,239,238.7495552
