Generation,New_Num_Wild_Gene_Frequency,Wild_Type_Gene_Frequency,New_Num_Wild_Gene,Num_Wild_Gene
8,0.977427,0.970045,199534,149222
9,0.971153,0.961824,199300,149152
10,0.963432,0.951671,197045,147273
11,0.9524,0.937476,197061,147674
12,0.939814,0.921176,199156,149049
13,0.925819,0.903288,196931,147375
14,0.907539,0.880046,195847,146386
15,0.884848,0.851456,194486,145077
16,0.855575,0.81591,191144,143007
17,0.824299,0.777344,190596,141835
18,0.785699,0.732014,186319,138814
19,0.746024,0.685804,183610,136438
20,0.697681,0.631406,177239,131561
21,0.644463,0.573642,171266,127123
22,0.590406,0.515106,164552,121271
23,0.535481,0.459512,155102,114390
24,0.47684,0.401529,144842,106618
25,0.420823,0.347641,133528,97933
26,0.366933,0.297703,121371,88765
27,0.315486,0.252384,108598,79544
28,0.272364,0.214241,97358,70917
29,0.228658,0.178675,84221,61806
30,0.195782,0.149472,74265,53611
31,0.160317,0.122951,62088,45588
32,0.135486,0.102051,53878,39071
33,0.111171,0.0834179,44720,32540
34,0.0938738,0.0695141,38486,27753
35,0.0761046,0.0565416,31535,22943
36,0.0609731,0.0451681,25612,18659
37,0.0486575,0.0361374,20655,15141
38,0.0409826,0.0299346,17503,12639
39,0.0333155,0.0242164,14341,10327
40,0.0299419,0.0211525,12918,9044
41,0.0208338,0.015769,9008,6783
42,0.0177936,0.0128846,7750,5584
43,0.0145497,0.0104793,6303,4521
44,0.0113952,0.00833585,4968,3623
45,0.00780499,0.00602028,3408,2624
46,0.00894872,0.00601935,3917,2627
47,0.00591888,0.00442805,2585,1931
48,0.00303303,0.00260249,1328,1139
49,0.00127076,0.00127076,558,558
50,NAN,NAN,0,0
51,NAN,NAN,0,0
52,NAN,NAN,0,0
53,NAN,NAN,0,0
54,NAN,NAN,0,0
55,NAN,NAN,0,0
56,NAN,NAN,0,0
57,NAN,NAN,0,0
58,NAN,NAN,0,0
59,NAN,NAN,0,0
60,NAN,NAN,0,0
61,NAN,NAN,0,0
62,NAN,NAN,0,0
63,NAN,NAN,0,0
64,NAN,NAN,0,0
65,NAN,NAN,0,0
66,NAN,NAN,0,0
67,NAN,NAN,0,0
68,NAN,NAN,0,0
69,NAN,NAN,0,0
70,NAN,NAN,0,0
71,NAN,NAN,0,0
72,NAN,NAN,0,0
73,NAN,NAN,0,0
74,NAN,NAN,0,0
75,NAN,NAN,0,0
76,NAN,NAN,0,0
77,NAN,NAN,0,0
78,NAN,NAN,0,0
79,NAN,NAN,0,0
80,NAN,NAN,0,0
81,NAN,NAN,0,0
82,NAN,NAN,0,0
83,NAN,NAN,0,0
84,NAN,NAN,0,0
85,NAN,NAN,0,0
86,NAN,NAN,0,0
87,NAN,NAN,0,0
88,NAN,NAN,0,0
89,NAN,NAN,0,0
90,NAN,NAN,0,0
91,NAN,NAN,0,0
92,NAN,NAN,0,0
93,NAN,NAN,0,0
94,NAN,NAN,0,0
95,NAN,NAN,0,0
96,NAN,NAN,0,0
97,NAN,NAN,0,0
98,NAN,NAN,0,0
99,NAN,NAN,0,0
100,NAN,NAN,0,0
101,NAN,NAN,0,0
102,NAN,NAN,0,0
103,NAN,NAN,0,0
104,NAN,NAN,0,0
105,NAN,NAN,0,0
106,NAN,NAN,0,0
107,NAN,NAN,0,0
108,NAN,NAN,0,0
109,NAN,NAN,0,0
110,NAN,NAN,0,0
111,NAN,NAN,0,0
112,NAN,NAN,0,0
113,NAN,NAN,0,0
114,NAN,NAN,0,0
115,NAN,NAN,0,0
116,NAN,NAN,0,0
117,NAN,NAN,0,0
118,NAN,NAN,0,0
119,NAN,NAN,0,0
120,NAN,NAN,0,0
121,NAN,NAN,0,0
122,NAN,NAN,0,0
123,NAN,NAN,0,0
124,NAN,NAN,0,0
125,NAN,NAN,0,0
126,NAN,NAN,0,0
127,NAN,NAN,0,0
128,NAN,NAN,0,0
129,NAN,NAN,0,0
130,NAN,NAN,0,0
131,NAN,NAN,0,0
132,NAN,NAN,0,0
133,NAN,NAN,0,0
134,NAN,NAN,0,0
135,NAN,NAN,0,0
136,NAN,NAN,0,0
137,NAN,NAN,0,0
