Number,GROWTH,MUTLIPLIER_F,Before_Start_Generation,Before_Start,Start_Generation,Start,Actual_Start_Generation,Before_Stop_Generation,Before_Stop,Stop_Generation,Stop,Actual_Stop_Generation,Timed_Gens_Tester,Actual_Timed_Gens
13,2,0.8,5,0.84326,6,0.776432,5.647333453,19,0.815279,20,0.693807,19.12578207,14,13.47844862
14,2,0.8,5,0.827795,6,0.740741,5.319284582,20,0.879787,21,0.796875,20.96230944,15,15.64302485
15,2,0.8,5,0.860934,6,0.792793,5.894234015,20,0.867358,21,0.779661,20.76807645,15,14.87384243
16,2,0.8,6,0.804245,7,0.783313,6.202799541,21,0.84428,22,0.771134,21.60536461,15,15.40256507
17,2,0.8,5,0.817792,6,0.731629,5.206492346,19,0.835233,20,0.769892,19.53921734,14,14.33272499
18,2,0.8,6,0.800409,7,0.694861,6.003875014,20,0.819792,21,0.728873,20.21768827,14,14.21381326
19,2,0.8,5,0.850782,6,0.758115,5.548005223,19,0.857588,20,0.796046,19.93575119,14,14.38774597
0,2,0.85,5,0.820339,6,0.702525,5.172636529,18,0.861797,19,0.796178,18.94175467,13,13.76911815
1,2,0.85,5,0.843011,6,0.746667,5.446431537,19,0.832311,20,0.75,19.39254778,14,13.94611624
2,2,0.85,4,0.888777,5,0.791107,4.9089485,19,0.863498,20,0.761019,19.61961963,15,14.71067113
3,2,0.85,5,0.817318,6,0.73753,5.217050183,18,0.854565,19,0.788853,18.83036584,13,13.61331566
4,2,0.85,5,0.818383,6,0.718492,5.184030593,18,0.82489,19,0.741512,18.29851999,13,13.1144894
5,2,0.85,5,0.850932,6,0.770314,5.63176958,17,0.822042,18,0.739935,17.26845458,12,11.636685
6,2,0.85,5,0.803093,6,0.713966,5.034703289,18,0.802737,19,0.717916,18.03226795,13,12.99756466
7,2,0.85,5,0.803097,6,0.702422,5.030762354,18,0.841081,19,0.746352,18.43366868,13,13.40290632
8,2,0.85,4,0.865608,5,0.793432,4.909000222,17,0.841734,18,0.738318,17.40355458,13,12.49455435
9,2,0.85,5,0.811563,6,0.717042,5.122332603,18,0.887142,19,0.795082,18.94657832,13,13.82424572
10,2,0.85,5,0.833515,6,0.759865,5.455057705,18,0.812183,19,0.71746,18.12861713,13,12.67355942
11,2,0.85,5,0.837209,6,0.758324,5.471686632,18,0.828094,19,0.705945,18.22999779,13,12.75831116
12,2,0.85,4,0.871257,5,0.772443,4.721122513,18,0.824777,19,0.768984,18.44408797,14,13.72296546
13,2,0.85,5,0.839879,6,0.744108,5.416399536,18,0.810526,19,0.732161,18.13432017,13,12.71792063
14,2,0.85,5,0.813166,6,0.727273,5.153283737,19,0.854855,20,0.768267,19.63351735,14,14.48023361
15,2,0.85,5,0.810811,6,0.7287,5.131663236,18,0.84463,19,0.768232,18.5841776,13,13.45251436
16,2,0.85,4,0.893253,5,0.793953,4.939103726,19,0.839246,20,0.739177,19.39218939,15,14.45308566
17,2,0.85,5,0.817805,6,0.751634,5.269075577,18,0.807298,19,0.728665,18.09281091,13,12.82373533
18,2,0.85,5,0.838574,6,0.759146,5.485647379,17,0.859521,18,0.788793,17.8415479,12,12.35590052
19,2,0.85,4,0.866,5,0.755849,4.599177493,17,0.852148,18,0.776036,17.6851482,13,13.08597071
0,2,0.9,4,0.85259,5,0.765393,4.60311708,16,0.87976,17,0.782564,16.8206099,12,12.21749282
1,2,0.9,4,0.863546,5,0.763397,4.634514573,17,0.833497,18,0.768657,17.51661012,13,12.88209554
2,2,0.9,5,0.819706,6,0.681499,5.142583227,18,0.842495,19,0.765912,18.55488816,13,13.41230493
3,2,0.9,5,0.801766,6,0.686705,5.01534838,18,0.833984,19,0.724064,18.30917031,13,13.29382193
4,2,0.9,5,0.836649,6,0.738547,5.373580559,16,0.888446,17,0.783983,16.84667298,11,11.47309243
5,2,0.9,5,0.817697,6,0.706136,5.158630704,16,0.885281,17,0.791152,16.90600134,11,11.74737063
6,2,0.9,5,0.832237,6,0.736189,5.335634266,17,0.801829,18,0.700828,17.01810873,12,11.68247447
7,2,0.9,4,0.859959,5,0.788145,4.834920768,17,0.815476,18,0.692803,17.12615653,13,12.29123576
8,2,0.9,4,0.854145,5,0.775,4.684124076,16,0.824524,17,0.74351,16.30271311,12,11.61858904
