Number,GROWTH,MUTLIPLIER,Before_Start_Generation,Before_Start,Start_Generation,Start,Actual_Start_Generation,Before_Stop_Generation,Before_Stop,Stop_Generation,Stop,Actual_Stop_Generation,Timed_Gens_Tester,Actual_Timed_Gens
13,2,0.65,14,0.418426,15,0.553846,14.60237779,32,0.445617,33,0.525045,32.68468298,18,18.0823052
14,2,0.65,14,0.476744,15,0.573227,14.24103728,30,0.466667,31,0.525783,30.5638575,16,16.32282022
15,2,0.65,13,0.474576,14,0.560044,13.29746806,31,0.431092,32,0.52439,31.73857961,18,18.44111155
16,2,0.65,13,0.411197,14,0.522549,13.79749802,32,0.430921,33,0.552783,32.56686252,19,18.76936449
17,2,0.65,15,0.482143,16,0.543344,15.29177628,36,0.449896,37,0.52045,36.71015109,21,21.41837481
18,2,0.65,15,0.470825,16,0.531798,15.47849048,33,0.45572,34,0.505656,33.88673502,18,18.40824454
19,2,0.65,14,0.494545,15,0.550773,14.09701572,36,0.477723,37,0.51847,36.5467151,22,22.44969937
0,2,0.7,14,0.466926,15,0.505263,14.86271748,31,0.485222,32,0.553444,31.21661634,17,16.35389886
1,2,0.7,12,0.417369,13,0.5,13,30,0.479206,31,0.561144,30.25377725,18,17.25377725
2,2,0.7,13,0.407807,14,0.508621,13.91448608,35,0.495604,36,0.536685,35.10700811,22,21.19252202
3,2,0.7,13,0.392623,14,0.509107,13.92181759,31,0.461851,32,0.555556,31.40711808,18,17.48530049
4,2,0.7,13,0.469557,14,0.507709,13.79793982,32,0.499176,33,0.564407,32.01263203,19,18.21469221
5,2,0.7,13,0.490719,14,0.563025,13.12835726,25,0.403349,26,0.509724,25.90858754,12,12.78023028
