Number,GROWTH,MUTLIPLIER_F,Before_Start_Generation,Before_Start,Start_Generation,Start,Actual_Start_Generation,Before_Stop_Generation,Before_Stop,Stop_Generation,Stop,Actual_Stop_Generation,Timed_Gens_Tester,Actual_Timed_Gens
8,2,0.75,4,0.888889,5,0.782007,4.831655471,18,0.852564,19,0.778378,18.70854339,14,13.87688792
9,2,0.75,5,0.814196,6,0.682033,5.107412816,18,0.842049,19,0.758192,18.50143697,13,13.39402415
10,2,0.75,4,0.834029,5,0.73878,4.357263593,18,0.846424,19,0.763889,18.56247653,14,14.20521293
11,2,0.75,4,0.86853,5,0.778252,4.75909967,17,0.878023,18,0.78481,17.8370399,13,13.07794023
12,2,0.75,4,0.872849,5,0.776329,4.754755491,16,0.870265,17,0.795628,16.94142315,12,12.18666766
13,2,0.75,4,0.837416,5,0.71991,4.318417783,14,0.87793,15,0.755102,14.63446445,10,10.31604667
14,2,0.75,4,0.871901,5,0.778672,4.771229982,18,0.857736,19,0.757637,18.57678898,14,13.805559
15,2,0.75,4,0.859852,5,0.789189,4.847006213,17,0.848765,18,0.756871,17.53066577,13,12.68365955
16,2,0.75,4,0.860612,5,0.74612,4.529399434,17,0.83613,18,0.721293,17.31461985,13,12.78522042
17,2,0.75,4,0.859096,5,0.775956,4.710801058,19,0.805134,20,0.701235,19.04941337,15,14.33861231
18,2,0.75,4,0.817691,5,0.740093,4.22798268,17,0.852996,18,0.77534,17.68244566,13,13.45446298
19,2,0.75,4,0.848419,5,0.738174,4.439194521,17,0.814777,18,0.671414,17.10307401,13,12.66387949
0,2,0.8,4,0.807254,5,0.680423,4.057194219,15,0.887,16,0.784946,15.85248986,11,11.79529564
1,2,0.8,4,0.855759,5,0.731884,4.450123108,16,0.889336,17,0.769314,16.74433021,12,12.2942071
2,2,0.8,4,0.842282,5,0.696056,4.289155143,16,0.83698,17,0.75134,16.43180757,12,12.14265242
3,2,0.8,4,0.800436,5,0.682896,4.003709376,15,0.901152,16,0.799599,15.99605132,11,11.99234195
4,2,0.8,4,0.86757,5,0.773173,4.715806646,16,0.873333,17,0.792179,16.90362767,12,12.18782102
5,2,0.8,4,0.843195,5,0.702532,4.307081464,16,0.824919,17,0.674338,16.16548569,12,11.85840422
6,2,0.8,4,0.831776,5,0.742857,4.357358945,16,0.863057,17,0.733549,16.48689656,12,12.12953762
7,2,0.8,4,0.815505,5,0.689231,4.122788539,15,0.846006,16,0.732181,15.40418186,11,11.28139332
8,2,0.8,4,0.854584,5,0.729526,4.436469478,17,0.806452,18,0.709948,17.06685733,13,12.63038785
9,2,0.8,4,0.848073,5,0.734322,4.422616065,17,0.832801,18,0.720042,17.29089474,13,12.86827868
10,2,0.8,4,0.81893,5,0.722958,4.19724503,17,0.870899,18,0.77868,17.7688112,13,13.57156617
