Generation,Wild_Type_Gene_Frequency,Num_Wild_Gene
8,0.431533,60431
9,0.275394,23512
10,0.159881,5796
11,0.100445,1038
12,0.0713213,95
13,0,0
14,NAN,0
15,NAN,0
16,NAN,0
17,NAN,0
18,NAN,0
19,NAN,0
20,NAN,0
21,NAN,0
22,NAN,0
23,NAN,0
24,NAN,0
25,NAN,0
26,NAN,0
27,NAN,0
28,NAN,0
29,NAN,0
30,NAN,0
NAN,NAN,NAN
1,0.990455,198614
2,0.981124,195436
3,0.961488,192140
4,0.925579,184816
5,0.863548,170530
6,0.761593,145714
7,0.612189,108077
8,0.435698,61240
9,0.272608,23893
10,0.170919,6310
11,0.0905008,947
12,0.0300245,49
13,NAN,0
14,NAN,0
15,NAN,0
16,NAN,0
17,NAN,0
18,NAN,0
19,NAN,0
20,NAN,0
21,NAN,0
22,NAN,0
23,NAN,0
24,NAN,0
25,NAN,0
26,NAN,0
27,NAN,0
28,NAN,0
29,NAN,0
30,NAN,0
NAN,NAN,NAN
1,0.989814,199893
2,0.979359,196246
3,0.959342,191404
4,0.920253,183666
5,0.851137,169635
6,0.742404,142454
7,0.592588,101950
8,0.419261,57095
9,0.261676,21313
10,0.150601,4965
11,0.0784289,621
12,0.0309917,30
13,0,0
14,NAN,0
15,NAN,0
16,NAN,0
17,NAN,0
18,NAN,0
19,NAN,0
20,NAN,0
21,NAN,0
22,NAN,0
23,NAN,0
24,NAN,0
25,NAN,0
26,NAN,0
27,NAN,0
28,NAN,0
29,NAN,0
30,NAN,0
NAN,NAN,NAN
1,0.989633,198841
2,0.978758,196335
3,0.958129,190934
4,0.918551,183001
5,0.849285,168566
6,0.7385,140634
7,0.58824,101002
8,0.415597,56350
9,0.269492,21485
10,0.156719,5362
11,0.100367,931
12,0.0488095,82
13,0,0
14,NAN,0
15,NAN,0
16,NAN,0
17,NAN,0
18,NAN,0
19,NAN,0
20,NAN,0
21,NAN,0
22,NAN,0
23,NAN,0
24,NAN,0
25,NAN,0
26,NAN,0
27,NAN,0
28,NAN,0
29,NAN,0
30,NAN,0
NAN,NAN,NAN
1,0.990272,200138
2,0.980834,196520
3,0.961842,192001
4,0.927635,184976
5,0.864041,171557
6,0.762355,145994
7,0.615238,108982
8,0.444836,63334
9,0.284654,25842
10,0.170083,6688
11,0.0960735,1150
12,0.0375833,79
13,0.166667,11
14,NAN,0
15,NAN,0
16,NAN,0
17,NAN,0
18,NAN,0
19,NAN,0
20,NAN,0
21,NAN,0
22,NAN,0
23,NAN,0
24,NAN,0
25,NAN,0
26,NAN,0
27,NAN,0
28,NAN,0
29,NAN,0
30,NAN,0
NAN,NAN,NAN
1,0.990029,198081
2,0.979343,196944
3,0.959179,191101
4,0.921594,183659
5,0.854979,168306
6,0.750767,142823
7,0.596422,104845
8,0.422678,57950
9,0.268451,22617
10,0.15067,5466
11,0.072721,635
12,0.0247748,22
13,NAN,0
14,NAN,0
15,NAN,0
16,NAN,0
17,NAN,0
18,NAN,0
19,NAN,0
20,NAN,0
21,NAN,0
22,NAN,0
23,NAN,0
24,NAN,0
25,NAN,0
26,NAN,0
27,NAN,0
28,NAN,0
29,NAN,0
30,NAN,0
NAN,NAN,NAN
1,0.990512,199085
2,0.981412,194828
3,0.963347,192548
4,0.929033,185749
5,0.867613,171829
6,0.761357,146208
7,0.610584,107221
8,0.432399,61373
9,0.282287,24301
10,0.164902,6325
11,0.082135,891
12,0.0175182,24
13,NAN,0
14,NAN,0
15,NAN,0
16,NAN,0
17,NAN,0
18,NAN,0
19,NAN,0
20,NAN,0
21,NAN,0
22,NAN,0
23,NAN,0
24,NAN,0
25,NAN,0
26,NAN,0
27,NAN,0
28,NAN,0
29,NAN,0
30,NAN,0
NAN,NAN,NAN
1,0.990222,198286
2,0.980332,197680
3,0.96025,190696
4,0.922546,184262
5,0.857204,169231
6,0.749992,143592
7,0.599726,104723
8,0.4282,58940
9,0.278066,23154
10,0.158696,6046
11,0.0838629,871
12,0.0463108,59
13,0,0
14,NAN,0
15,NAN,0
16,NAN,0
17,NAN,0
18,NAN,0
19,NAN,0
20,NAN,0
21,NAN,0
22,NAN,0
23,NAN,0
24,NAN,0
25,NAN,0
26,NAN,0
27,NAN,0
28,NAN,0
29,NAN,0
30,NAN,0
NAN,NAN,NAN
1,0.990255,197635
2,0.980563,196042
3,0.962207,192174
4,0.928848,185896
5,0.866202,172932
6,0.764101,146495
7,0.61923,109382
8,0.444314,64182
9,0.282517,25830
10,0.170388,6502
11,0.104999,1214
12,0.0216734,43
13,0,0
14,NAN,0
15,NAN,0
16,NAN,0
17,NAN,0
18,NAN,0
19,NAN,0
20,NAN,0
21,NAN,0
22,NAN,0
23,NAN,0
24,NAN,0
25,NAN,0
26,NAN,0
27,NAN,0
28,NAN,0
29,NAN,0
30,NAN,0
NAN,NAN,NAN
