Drive_Allele_Gene_Frequency,Num_Drive_Gene
1,100573
1,100513
1,100089
1,100221
1,99850
1,99602
1,100496
1,100179
1,100451
1,99849
1,99414
1,99227
1,100048
1,99863
1,99475
1,99384
1,99796
1,100212
1,100271
1,100094
1,100387
1,100543
1,100111
1,100489
1,99500
1,100153
1,100106
1,98749
1,99007
1,99609
1,98978
1,99444
1,100083
1,99745
1,99754
1,100533
1,100253
1,100635
1,100288
1,99925
1,100635
1,99921
1,100438
1,100186
1,100090
1,100079
1,99906
1,99973
1,99723
1,99422
1,99534
1,99747
1,100154
1,99746
1,99071
1,100139
1,100103
1,99066
1,99575
1,99591
1,99898
1,100260
NAN,NAN
0.0512826,4922
0.0547906,5181
0.0588785,5543
0.0605476,5683
0.0639913,5959
0.066727,6194
0.0718807,6666
0.076595,7021
0.0807071,7373
0.0881576,8039
0.0947046,8529
0.103189,9222
0.11179,9975
0.123044,10783
0.138373,12007
0.157518,13568
0.181042,15381
0.212755,17571
0.252734,20314
0.310254,24255
0.392497,29367
0.512607,36838
0.677878,47867
0.865613,64019
0.979489,81327
0.999652,94818
1,98978
1,100493
1,100005
1,99426
1,99402
1,99569
1,99985
1,99573
1,100309
1,100297
1,99901
1,100256
1,100098
1,99908
1,100228
1,99557
1,99813
1,99002
1,100596
1,100233
1,100025
1,99803
1,100696
1,99968
1,100088
1,99702
1,100031
1,100151
1,101105
1,100856
1,99620
1,99016
1,99328
1,99772
1,100566
1,99411
1,99489
1,100763
1,100185
1,100295
1,100297
1,99560
1,99873
1,100335
1,100309
1,100864
1,99899
1,100422
1,99773
1,99991
1,99876
1,100163
1,99914
1,100032
1,100296
1,100413
1,100298
1,99900
1,99860
1,100262
1,99502
1,99992
1,100409
1,100081
1,99560
1,100251
1,100285
1,99929
1,100925
1,100575
1,100457
1,99391
1,100794
1,99705
NAN,NAN
0.0516588,4975
0.0541462,5114
0.056886,5309
0.059572,5543
0.0627775,5895
0.0665065,6200
0.069359,6389
0.0752314,6958
0.0810557,7423
0.0864597,7838
0.0953449,8547
0.103521,9211
0.113982,10125
0.126974,11214
0.142675,12549
0.160751,13742
0.185446,15652
0.220387,18217
0.265378,21179
0.332859,25494
0.426181,31652
0.565363,40545
0.750339,53686
0.92589,70151
0.994298,88062
1,96509
1,99039
1,99719
1,99671
1,100145
1,100968
1,100310
1,99954
1,100618
1,100767
1,100219
1,99748
1,100217
1,99616
1,99828
1,100444
1,99638
1,99677
1,100694
1,99531
1,99971
1,99580
1,99720
1,99880
1,99827
1,99464
1,99885
1,99704
1,100002
1,100301
1,100392
1,99576
1,99746
1,99688
1,100261
1,100171
1,100084
1,100200
1,99914
1,100221
1,100832
1,100663
1,99627
1,99862
1,100682
1,100325
1,100013
1,101068
1,100753
1,100094
1,100654
1,101031
1,99794
1,100724
1,100471
1,99191
1,99534
1,100152
1,99700
1,99792
1,100602
1,99523
1,99230
1,100184
1,99139
1,99781
1,100135
1,99868
1,99838
1,100413
1,100539
1,99590
1,100268
1,99862
1,99234
NAN,NAN
0.0519093,5016
0.055293,5254
0.0611815,5748
0.064498,5974
0.0700336,6541
0.0755484,7009
0.0798777,7289
0.0858838,7804
0.0942172,8495
0.102561,9216
0.112862,10104
0.12585,11087
0.138237,12042
0.156025,13428
0.18109,15292
0.212928,17755
0.256186,20676
0.316855,24689
0.403101,30135
0.533231,38182
0.709028,49778
0.891657,66687
0.987565,84578
0.999769,95144
1,98942
1,99221
1,99311
1,99829
1,99255
1,99525
1,99713
1,99516
1,99555
1,99395
1,100092
1,100694
1,99535
1,100648
1,99542
1,99112
1,100401
1,99773
1,100461
1,99829
1,99762
1,100004
1,99627
1,100207
1,100353
1,99480
1,100047
1,100570
1,100417
1,99712
1,100648
1,99940
1,100503
1,100158
1,99370
1,99377
1,100378
1,99862
1,99509
1,100382
1,99690
1,99303
1,100222
1,99979
1,100796
1,100688
1,100144
1,99936
1,99737
1,99616
1,100299
1,100146
1,99044
1,100003
1,100378
1,99724
1,99851
1,99997
1,99862
1,100081
1,101025
1,100824
1,100180
1,99633
1,100102
1,99506
1,98829
1,99556
1,100146
1,101213
1,100176
1,99552
1,99208
1,99612
1,100472
1,100056
NAN,NAN
0.108869,10172
0.122813,11001
0.139799,12263
0.158185,13661
0.183395,15423
0.212476,17548
0.2568,20658
0.314666,24380
0.404256,30225
0.532607,38385
0.708925,50501
0.893867,66830
0.988249,85276
0.999938,96758
1,98994
1,99642
1,99501
1,99285
1,99839
1,100189
1,100061
1,100219
1,99856
1,100080
1,100549
1,99707
1,99383
1,100461
1,100150
1,99856
1,100341
1,100371
1,100170
1,100063
1,99418
1,99343
1,100034
1,99487
1,101006
1,100300
1,99296
1,100312
1,100420
1,100022
1,99846
1,99162
1,99431
1,100122
1,99324
1,100080
1,99891
1,99620
1,99782
1,99301
1,101182
1,100939
1,100475
1,99554
1,99951
1,100529
1,99567
1,99949
1,99989
1,100498
1,100891
1,100597
1,100441
1,99680
1,100206
1,100641
1,99658
1,99593
1,100346
1,99426
1,99464
1,99562
1,100284
1,100536
1,100442
1,99700
1,100025
1,99684
1,99667
1,99877
1,100008
1,100199
1,99882
1,100099
1,99863
1,100742
1,99835
1,99228
1,99811
1,99717
1,100248
1,100149
1,99860
1,100389
1,99218
1,100180
NAN,NAN
0.109271,10102
0.12185,10903
0.137801,12112
0.153881,13281
0.175759,14733
0.20514,16963
0.242225,19394
0.297805,23392
0.377074,28566
0.49397,36083
0.660637,46750
0.850401,61393
0.974167,79834
0.999247,94272
1,99608
1,99948
1,100054
1,100046
1,99782
1,100756
1,100124
1,99586
1,100047
1,99983
1,100206
1,99704
1,100612
1,99768
1,100828
1,100261
1,99402
1,99745
1,100408
1,99733
1,99578
1,100404
1,100341
1,100480
1,99762
1,99463
1,100242
1,99711
1,100034
1,100172
1,100053
1,99749
1,100264
1,99893
1,100414
1,99571
1,99840
1,99926
1,100129
1,100327
1,99614
1,100046
1,99635
1,100421
1,99390
1,100300
1,99979
1,100187
1,99393
1,99783
1,99422
1,99132
1,99410
1,100183
1,100202
1,99793
1,99934
1,99531
1,100036
1,100241
1,99806
1,99719
1,100165
1,100261
1,99658
1,99208
1,101035
1,100365
1,100660
1,100093
1,99267
1,98524
1,100290
1,100026
1,100605
1,99559
1,100012
1,100016
1,99880
1,100100
1,100641
1,100049
1,100658
1,100197
1,100193
1,100133
NAN,NAN
0.109892,10086
0.12111,10873
0.135652,11902
0.154961,13402
0.180134,15217
0.211207,17512
0.254569,20449
0.313041,24307
0.398487,30034
0.527376,38057
0.704549,49992
0.888587,65990
0.986951,83649
0.999896,96462
1,99461
1,99728
1,99663
1,99769
1,99771
1,99709
1,99646
1,100492
