"drive","beta","speed","suppressed","gens_till_suppression","chased","gens_till_chasing","average_nondrive_GC","variance_in_nondrive_GC","average_overall_GC","variance_in_overall_GC","average_popsize_during_chase","variance_in_popsize_during_chase","duration_of_chase","drive_loss","gens_till_drive_loss","equilibrium_state","gens_till_equilibrium_state","simulation_stopped_after_1000_gens","rate_of_drive_after_1000_gens","r1_resistance_formed","gens_till_r1_resistance_formed","long_term_chase","drive_loss_with_chase","drive_loss_without_chase","outcome_of_suppression_with_tiny_chase","outcome_of_suppression_after_chasing","outcome_of_drive_loss_after_chasing","outcome_of_suppression_without_chasing","outcome_of_drive_loss_without_chasing","outcome_of_long_term_chasing","average_number_of_fertile_females_during_any_chase","average_number_of_fertile_females_during_ending_chase","average_number_of_fertile_females_during_long_term_chase","average_number_of_fertile_females_during_chase_ending_in_suppression"
"zpg2X",7,0.0156,0,NA,1,69.2,0.00177278195,1.5012e-06,0.00049301975,1.32755e-07,36445.315282,2702570.94245,NA,0,NA,0,NA,1,0.618856,0,NA,1,0,0,0,0,0,0,0,1,6125.759334,NA,6125.759334,NA
"zpg2X",7,0.0194,0,NA,1,64.05,0.0017238937,2.3645e-06,0.0004741314,2.7535e-07,36201.1048215,3718566.9148,NA,0,NA,0,NA,1,0.63619725,0,NA,1,0,0,0,0,0,0,0,1,5670.05309055,NA,5670.05309055,NA
"zpg2X",7,0.0232,0,NA,1,58.45,0.0016123679,2.846e-06,0.00044090765,4.336e-07,36011.6732745,4842512.0026,NA,0,NA,0,NA,1,0.6451001,0,NA,1,0,0,0,0,0,0,0,1,5403.3459814,NA,5403.3459814,NA
"zpg2X",7,0.027,0,NA,1,55.3,0.00152429525,3.713e-06,0.00042121045,6.516e-07,35785.130362,6222848.916,NA,0,NA,0,NA,1,0.65510965,0,NA,1,0,0,0,0,0,0,0,1,5212.38201,NA,5212.38201,NA
"zpg2X",7,0.0308,0,NA,1,55.1,0.00145793315,8.1035e-06,0.0004181806,1.67825e-06,35716.939099,7427109.93755,NA,0,NA,0,NA,1,0.6534948,0,NA,1,0,0,0,0,0,0,0,1,5098.22004335,NA,5098.22004335,NA
"zpg2X",7,0.0346,0,NA,1,50.5,0.00137400885,1.26095e-05,0.00040115055,2.66605e-06,35653.4756685,8264165.29435,NA,0,NA,0,NA,1,0.6567906,0,NA,1,0,0,0,0,0,0,0,1,5025.4140342,NA,5025.4140342,NA
"zpg2X",7,0.0384,0,NA,1,48,0.0012663062,1.1767e-05,0.000370789,2.5363e-06,35577.6246115,9001211.1065,NA,0,NA,0,NA,1,0.66044955,0,NA,1,0,0,0,0,0,0,0,1,4962.6091298,NA,4962.6091298,NA
"zpg2X",7,0.0422,0,NA,1,43.9,0.00129497585,3.98511e-05,0.00042739595,1.604495e-05,35487.3648155,10328688.24205,NA,0,NA,0,NA,1,0.66251645,0,NA,1,0,0,0,0,0,0,0,1,4917.6997449,NA,4917.6997449,NA
"zpg2X",7,0.046,0.05,82,0.95,43.2105263157895,0.001160465,2.32001578947368e-05,0.000371103578947368,6.03678947368421e-06,35551.0766621053,10644113.7327368,NA,0,NA,0,NA,0.95,0.666758421052632,0,NA,0.95,0,0,0,0,0,0.05,0,0.95,4905.58571268421,NA,4905.58571268421,NA
"zpg2X",8,0.008,0,NA,1,75.25,0.0013313426,4.227e-07,0.00034394535,1.3565e-08,38450.993783,1170604.228285,NA,0,NA,0,NA,1,0.51997975,0,NA,1,0,0,0,0,0,0,0,1,9210.63038135,NA,9210.63038135,NA
