Number,Migration,Before_Start_Generation,Before_Start,Start_Generation,Start,Actual_Start_Generation,Before_Stop_Generation,Before_Stop,Stop_Generation,Stop,Actual_Stop_Generation,Timed_Gens_Tester,Actual_Timed_Gens
5,0.01,18,0.426934,19,0.577287,18.48596303,66,0.438889,67,0.530792,66.66495109,48,48.17898806
6,0.01,17,0.328228,18,0.513699,17.9261394,63,0.425662,64,0.507812,63.90490566,46,45.97876626
7,0.01,15,0.497706,16,0.527415,15.07721566,62,0.493289,63,0.5,63,47,47.92278434
8,0.01,20,0.419283,21,0.5323,20.71420229,62,0.427441,63,0.501458,62.98030182,42,42.26609953
9,0.01,18,0.462604,19,0.662844,18.18675589,68,0.492355,69,0.643312,68.05064356,50,49.86388767
10,0.01,19,0.486339,20,0.54908,19.21773641,63,0.440729,64,0.559871,63.497482,44,44.27974559
11,0.01,22,0.447174,23,0.530435,22.63446271,65,0.389002,66,0.563452,65.636274,43,43.00181129
12,0.01,17,0.493671,18,0.594828,17.06256611,59,0.379397,60,0.513736,59.89775121,42,42.8351851
13,0.01,16,0.445808,17,0.545667,16.54268519,64,0.458525,65,0.545232,64.47833508,48,47.9356499
14,0.01,17,0.43771,18,0.575071,17.45347661,61,0.451613,62,0.510417,61.82285219,44,44.36937558
15,0.01,20,0.426768,21,0.614173,20.39076866,62,0.459854,63,0.556962,62.41341599,42,42.02264733
16,0.01,16,0.436031,17,0.608796,16.37026597,66,0.487562,67,0.587097,66.12496107,50,49.7546951
17,0.01,17,0.434524,18,0.604712,17.38472748,63,0.378072,64,0.511628,63.9129354,46,46.52820792
18,0.01,16,0.325893,17,0.505176,16.97112944,63,0.433875,64,0.611111,63.37309012,47,46.40196067
19,0.01,18,0.443396,19,0.595308,18.37261046,64,0.476087,65,0.530769,64.43731027,46,46.06469981
0,0.015,12,0.479029,13,0.609572,12.16064439,36,0.488421,37,0.582367,36.12325166,24,23.96260727
1,0.015,12,0.476673,13,0.59867,12.19120962,40,0.464435,41,0.594533,40.27337084,28,28.08216122
2,0.015,12,0.482474,13,0.610169,12.13724891,39,0.462385,40,0.645224,39.20572744,27,27.06847853
3,0.015,11,0.44856,12,0.511749,11.81406574,40,0.431373,41,0.540682,40.62782571,29,28.81375997
4,0.015,12,0.490234,13,0.635266,12.06733686,36,0.453039,37,0.555844,36.45679685,24,24.38945998
5,0.015,13,0.487859,14,0.573059,13.1425,40,0.417671,41,0.56,40.5784415,27,27.4359415
6,0.015,11,0.475138,12,0.538462,11.39261575,41,0.409543,42,0.529787,41.7522787,30,30.35966295
