Number,MIGRATION,Before_Start_Generation,Before_Start,Start_Generation,Start,Actual_Start_Generation,Before_Stop_Generation,Before_Stop,Stop_Generation,Stop,Actual_Stop_Generation,Timed_Gens_Tester,Actual_Timed_Gens
152,0.01,42,0.476866,43,0.541387,42.35854993,152,0.498146,153,0.540966,152.0432975,110,109.6847476
153,0.01,42,0.46612,43,0.5,43,153,0.463046,154,0.509564,153.7944022,111,110.7944022
154,0.01,42,0.479792,43,0.525395,42.44312874,157,0.451965,158,0.526713,157.6426259,115,115.1994971
155,0.01,40,0.46778,41,0.515319,40.67775931,154,0.469364,155,0.516201,154.6540983,114,113.9763389
156,0.01,42,0.497256,43,0.57486,42.035359,146,0.470258,147,0.554289,146.3539408,104,104.3185818
157,0.01,40,0.483817,41,0.535516,40.31302346,147,0.475295,148,0.535211,147.4123273,107,107.0993038
158,0.01,43,0.45874,44,0.52439,43.62848439,159,0.450154,160,0.501104,159.9783317,116,116.3498473
159,0.01,41,0.461338,42,0.525105,41.60630106,155,0.485961,156,0.513652,155.5069878,114,113.9006868
160,0.01,40,0.471143,41,0.520089,40.5895681,149,0.494393,150,0.508673,149.3926471,109,108.803079
161,0.01,45,0.49222,46,0.510799,45.41875235,157,0.482262,158,0.526178,157.4039075,112,111.9851551
162,0.01,44,0.486966,45,0.56427,44.16860706,153,0.449625,154,0.501107,153.9784973,109,109.8098903
163,0.01,44,0.479759,45,0.51604,44.55789532,161,0.468427,162,0.52077,161.6031943,117,117.045299
164,0.01,39,0.476009,40,0.504727,39.8353994,156,0.465628,157,0.505814,156.8553227,117,117.0199233
165,0.01,43,0.466427,44,0.520541,43.62041246,160,0.49777,161,0.559368,160.0362025,117,116.41579
166,0.01,39,0.426275,40,0.508762,39.8937772,155,0.456522,156,0.534065,155.5606954,116,115.6669182
167,0.01,38,0.460651,39,0.514917,38.72511333,153,0.450688,154,0.529341,153.6269564,115,114.901843
168,0.01,41,0.434715,42,0.50996,41.8676324,155,0.495071,156,0.532095,155.1331299,114,113.2654975
169,0.01,40,0.415636,41,0.513658,40.86066393,152,0.497238,153,0.541221,152.062797,112,111.2021331
170,0.01,43,0.472222,44,0.532632,43.45982453,154,0.497338,155,0.550626,154.049955,111,110.5901304
171,0.01,42,0.466247,43,0.517127,42.66338443,159,0.455026,160,0.503158,159.9343888,117,117.2710043
172,0.01,43,0.490524,44,0.538747,43.19650374,159,0.451807,160,0.530043,159.6159952,116,116.4194915
173,0.01,40,0.469933,41,0.512195,40.7114429,157,0.47869,158,0.506303,157.7717379,117,117.060295
174,0.01,40,0.484375,41,0.525077,40.38388777,155,0.445434,156,0.502847,155.9504119,115,115.5665242
175,0.01,45,0.492391,46,0.544289,45.14661451,153,0.491898,154,0.552813,153.133005,108,107.9863905
176,0.01,40,0.477429,41,0.509465,40.70455113,155,0.491676,156,0.518868,155.3061194,115,114.6015683
177,0.01,36,0.49085,37,0.570862,36.11435785,150,0.47099,151,0.522677,150.561263,114,114.4469051
178,0.01,41,0.495303,42,0.518143,41.20564799,152,0.463554,153,0.516,152.6949243,111,111.4892763
179,0.01,42,0.484954,43,0.526226,42.36455708,156,0.433369,157,0.507075,156.9040105,114,114.5394534
180,0.01,38,0.445991,39,0.514736,38.78564259,142,0.488359,143,0.549154,142.1914796,104,103.405837
181,0.01,43,0.444668,44,0.502503,43.95672171,163,0.499011,164,0.545272,163.0213787,120,119.064657
182,0.01,45,0.48348,46,0.507886,45.67688273,168,0.472399,169,0.515038,168.6473182,123,122.9704354
183,0.01,42,0.483774,43,0.549008,42.24873532,153,0.493499,154,0.537616,153.1473582,111,110.8986228
184,0.01,42,0.475,43,0.538851,42.39153655,155,0.466942,156,0.539216,155.4573982,113,113.0658617
185,0.01,45,0.479387,46,0.540993,45.33459403,155,0.429553,156,0.529867,155.7022649,110,110.3676709
186,0.01,39,0.471554,40,0.515006,39.65465341,151,0.461353,152,0.514215,151.7310923,112,112.0764389
187,0.01,44,0.464994,45,0.530502,44.53437748,150,0.426932,151,0.501126,150.9848236,106,106.4504461
188,0.01,42,0.396076,43,0.503148,42.97059922,156,0.499429,157,0.527712,156.0201888,114,113.0495896
189,0.01,42,0.48272,43,0.521041,42.45092769,155,0.464674,156,0.525375,155.5819673,113,113.1310397
190,0.01,42,0.458639,43,0.520856,42.66478615,156,0.489503,157,0.520165,156.3423456,114,113.6775594
191,0.01,43,0.461105,44,0.500524,43.98670692,150,0.452851,151,0.519729,150.7050001,107,106.7182932
192,0.01,40,0.498907,41,0.533889,40.03124464,157,0.49776,158,0.551314,157.0418269,117,117.0105823
193,0.01,44,0.451983,45,0.501185,44.97591561,157,0.477245,158,0.548753,157.3182161,113,112.3423005
194,0.01,38,0.482924,39,0.518008,38.48671759,151,0.490722,152,0.53072,151.2319616,113,112.745244
195,0.01,47,0.489186,48,0.53042,47.2622593,159,0.471755,160,0.520343,159.5813164,112,112.3190571
196,0.01,41,0.479716,42,0.508762,41.69834056,151,0.479065,152,0.519759,151.5144493,110,109.8161087
197,0.01,46,0.449948,47,0.520534,46.70909245,152,0.477431,153,0.526066,152.4640485,106,105.7549561
198,0.01,46,0.497366,47,0.559304,46.0425264,153,0.491784,154,0.508651,153.487105,107,107.4445786
199,0.01,43,0.494819,44,0.54485,43.1035558,158,0.497992,159,0.547573,158.0404994,115,114.9369436
0,0.015,30,0.478381,31,0.544365,30.32764003,104,0.438586,105,0.500583,104.9905963,74,74.66295629
1,0.015,30,0.422149,31,0.506222,30.92599289,110,0.473278,111,0.503409,110.8868607,80,79.96086782
2,0.015,30,0.448511,31,0.507034,30.87980794,104,0.463842,105,0.502451,104.9365174,74,74.05670945
3,0.015,31,0.456769,32,0.533183,31.56574711,103,0.439323,104,0.501175,103.981003,72,72.41525593
4,0.015,28,0.455168,29,0.520833,28.68273814,105,0.476464,106,0.545455,105.3411459,77,76.65840781
5,0.015,29,0.478987,30,0.537701,29.35788739,107,0.478409,108,0.529825,107.4199276,78,78.06204026
6,0.015,28,0.44577,29,0.516999,28.7613472,104,0.498252,105,0.562288,104.0272971,76,75.26594994
7,0.015,31,0.440622,32,0.502208,31.9641477,107,0.437425,108,0.526345,107.7037224,76,75.73957475
8,0.015,30,0.424808,31,0.506166,30.92421151,112,0.469364,113,0.533986,112.47408,82,81.54986853
9,0.015,33,0.471687,34,0.515464,33.64675515,110,0.442396,111,0.507605,110.883375,77,77.23661985
10,0.015,30,0.49827,31,0.509056,30.1603931,108,0.489349,109,0.565514,108.1398411,78,77.97944803
11,0.015,31,0.495249,32,0.569507,31.06397964,106,0.481693,107,0.5449,106.2896356,75,75.225656
12,0.015,32,0.474116,33,0.510369,32.71398229,106,0.453576,107,0.533839,106.5783985,74,73.86441622
13,0.015,33,0.492299,34,0.517998,33.29966147,107,0.480666,108,0.511455,107.6279515,74,74.32829008
14,0.015,30,0.435979,31,0.501615,30.9753946,106,0.466009,107,0.510791,106.7590326,76,75.78363805
15,0.015,30,0.468384,31,0.510405,30.75238571,100,0.497153,101,0.545662,100.0586901,70,69.30630443
16,0.015,31,0.470075,32,0.529842,31.50069436,106,0.483294,107,0.526674,106.3851083,75,74.88441398
17,0.015,31,0.497465,32,0.53277,31.07180286,108,0.489523,109,0.535867,108.2260703,77,77.1542674
18,0.015,31,0.446951,32,0.505288,31.90935427,109,0.459911,110,0.532843,109.5496764,78,77.64032214
19,0.015,30,0.474419,31,0.523977,30.51618306,107,0.476103,108,0.535756,107.4006001,77,76.88441708
20,0.015,31,0.449395,32,0.528139,31.64265214,106,0.493529,107,0.521127,106.2344735,75,74.59182137
21,0.015,32,0.439616,33,0.514168,32.80995815,113,0.486716,114,0.544715,113.2290384,81,80.41908028
22,0.015,28,0.409753,29,0.500567,28.99375647,105,0.471885,106,0.532843,105.4612192,77,76.46746273
23,0.015,30,0.45079,31,0.512338,30.79953857,100,0.463842,101,0.507865,100.8213434,70,70.02180482
24,0.015,31,0.478873,32,0.549665,31.29843768,107,0.462526,108,0.529185,107.5621747,76,76.26373697
25,0.015,31,0.455215,32,0.504635,31.90621206,110,0.470787,111,0.531176,110.483747,79,78.57753498
26,0.015,31,0.489865,32,0.538286,31.20931001,107,0.478443,108,0.517299,107.5547921,76,76.34548204
27,0.015,30,0.48441,31,0.515847,30.49591246,102,0.447712,103,0.515987,102.765844,72,72.26993155
28,0.015,30,0.438295,31,0.510366,30.85616961,108,0.481588,109,0.544457,108.2928629,78,77.43669333
29,0.015,31,0.487627,32,0.568594,31.15281534,110,0.488229,111,0.580132,110.1280807,79,78.97526535
30,0.015,31,0.484733,32,0.523509,31.39372292,108,0.480706,109,0.553776,108.2640482,77,76.87032525
31,0.015,29,0.428496,30,0.505464,29.92900946,106,0.466357,107,0.518498,106.6452312,77,76.71622174
32,0.015,28,0.451754,29,0.5,29,104,0.481572,105,0.52593,104.415438,76,75.41543803
33,0.015,30,0.497268,31,0.573256,30.03595305,107,0.497709,108,0.56228,107.0354803,77,76.99952728
