Number,GROWTH,Before_Start_Generation,Before_Start,Start_Generation,Start,Actual_Start_Generation,Before_Stop_Generation,Before_Stop,Stop_Generation,Stop,Actual_Stop_Generation,Actual_Timed_Gens
7,5.5,8,0,9,1040,8.961538462,15,937,16,1029,15.68478261,6.723244147
7,5.5,7,0,8,1019,7.981354269,19,968,20,1001,19.96969697,11.9883427
7,5.5,9,0,10,1012,9.988142292,16,993,17,1051,16.12068966,6.132547363
7,5.5,7,0,8,1028,7.972762646,14,709,15,1020,14.93569132,6.962928672
7,5.5,7,0,8,1019,7.981354269,20,997,21,1039,20.07142857,12.0900743
7,5.5,6,0,7,1011,6.989119683,15,978,16,1057,15.27848101,8.289361329
8,5.5,7,0,8,1042,7.959692898,15,815,16,1052,15.78059072,7.820897819
8,5.5,8,0,9,1084,8.922509225,18,965,19,1042,18.45454545,9.532036229
8,5.5,7,0,8,1014,7.986193294,16,967,17,1059,16.35869565,8.372502358
8,5.5,8,0,9,1002,8.998003992,17,950,18,1093,17.34965035,8.351646358
8,5.5,10,0,11,1030,10.97087379,17,967,18,1041,17.44594595,6.47507216
8,5.5,6,0,7,1003,6.997008973,16,960,17,1037,16.51948052,9.522471546
8,5.5,9,0,10,1039,9.962463908,17,932,18,1030,17.69387755,7.731413643
8,5.5,7,0,8,1036,7.965250965,15,913,16,1029,15.75,7.784749035
8,5.5,9,0,10,1037,9.964320154,15,984,16,1089,15.15238095,5.188060798
8,5.5,9,0,10,1049,9.953288847,16,983,17,1065,16.20731707,6.254028227
8,5.5,8,0,9,1052,8.950570342,15,924,16,1050,15.6031746,6.652604261
8,5.5,9,0,10,1035,9.966183575,16,998,17,1059,16.03278689,6.06660331
8,5.5,7,0,8,1005,7.995024876,19,989,20,1048,19.18644068,11.1914158
8,5.5,6,0,7,1010,6.99009901,17,999,18,1019,17.05,10.05990099
8,5.5,7,0,8,1016,7.984251969,16,974,17,1006,16.8125,8.828248031
8,5.5,7,0,8,1011,7.989119683,16,961,17,1022,16.63934426,8.650224579
8,5.5,7,0,8,1070,7.934579439,19,977,20,1016,19.58974359,11.65516415
8,5.5,8,0,9,1065,8.938967136,17,934,18,1041,17.61682243,8.677855294
8,5.5,7,0,8,1074,7.931098696,15,978,16,1007,15.75862069,7.827521993
8,5.5,8,0,9,1016,8.984251969,14,985,15,1086,14.14851485,5.164262883
9,5.5,8,0,9,1068,8.936329588,20,998,21,1004,20.33333333,11.39700375
9,5.5,7,0,8,1026,7.974658869,16,969,17,1002,16.93939394,8.96473507
9,5.5,9,0,10,1024,9.9765625,18,960,19,1004,18.90909091,8.932528409
9,5.5,8,0,9,1001,8.999000999,15,919,16,1003,15.96428571,6.965284715
9,5.5,7,0,8,1033,7.968054211,16,952,17,1012,16.8,8.831945789
9,5.5,8,0,9,1025,8.975609756,13,712,14,1003,13.98969072,5.014080966
9,5.5,7,0,8,1013,7.987166831,15,933,16,1071,15.48550725,7.498340415
9,5.5,8,0,9,1061,8.942507069,19,924,20,1061,19.55474453,10.61223746
9,5.5,7,0,8,1021,7.979431929,18,934,19,1038,18.63461538,10.65518346
9,5.5,9,0,10,1042,9.959692898,15,959,16,1017,15.70689655,5.747203653
9,5.5,8,0,9,1004,8.996015936,14,920,15,1066,14.54794521,5.551929269
9,5.5,12,0,13,1036,12.96525097,15,860,16,1057,15.7106599,2.745408933
9,5.5,7,0,8,1003,7.997008973,16,949,17,1022,16.69863014,8.701621164
9,5.5,9,0,10,1032,9.968992248,17,1000,18,1027,17,7.031007752
9,5.5,7,0,8,1043,7.958772771,14,837,15,1008,14.95321637,6.994443603
9,5.5,8,0,9,1005,8.995024876,15,921,16,1080,15.49685535,6.50183047
9,5.5,6,0,7,1013,6.987166831,16,897,17,1003,16.97169811,9.984531282
9,5.5,7,0,8,1005,7.995024876,15,913,16,1046,15.65413534,7.659110463
9,5.5,10,0,11,1017,10.98328417,18,988,19,1006,18.66666667,7.683382498
9,5.5,9,0,10,1004,9.996015936,16,967,17,1024,16.57894737,6.582931432
0,6,8,0,9,1039,8.962463908,13,867,14,1033,13.80120482,4.838740912
0,6,7,0,8,1081,7.92506938,16,896,17,1096,16.52,8.59493062
0,6,8,0,9,1019,8.981354269,15,891,16,1021,15.83846154,6.85710727
0,6,7,0,8,1058,7.945179584,14,997,15,1051,14.05555556,6.110375971
0,6,6,0,7,1034,6.967117988,14,811,15,1033,14.85135135,7.884233363
0,6,8,0,9,1028,8.972762646,15,961,16,1004,15.90697674,6.934214098
0,6,8,0,9,1044,8.957854406,14,879,15,1014,14.8962963,5.93844189
0,6,9,0,10,1011,9.989119683,17,910,18,1015,17.85714286,7.868023174
0,6,11,0,12,1031,11.9699321,16,955,17,1037,16.54878049,4.578848383
0,6,8,0,9,1035,8.966183575,15,927,16,1045,15.61864407,6.652460493
0,6,7,0,8,1030,7.970873786,15,973,16,1026,15.50943396,7.538560176
0,6,8,0,9,1008,8.992063492,16,1000,17,1026,16,7.007936508
